fo_code;fo_code_ext;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_type;fo_etat;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FO716000000069;"71153/USZ/TR 60 1470;12;3";CB716000000001;69;12;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000070;"71153/USZ/TR 60 1470;12;4";CB716000000001;70;12;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000071;"71153/USZ/TR 60 1470;12;5";CB716000000001;71;12;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000072;"71153/USZ/TR 60 1470;12;6";CB716000000001;72;12;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000073;"71153/USZ/TR 60 1470;13;1";CB716000000001;73;13;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000074;"71153/USZ/TR 60 1470;13;2";CB716000000001;74;13;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000075;"71153/USZ/TR 60 1470;13;3";CB716000000001;75;13;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000076;"71153/USZ/TR 60 1470;13;4";CB716000000001;76;13;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000077;"71153/USZ/TR 60 1470;13;5";CB716000000001;77;13;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000078;"71153/USZ/TR 60 1470;13;6";CB716000000001;78;13;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000079;"71153/USZ/TR 60 1470;14;1";CB716000000001;79;14;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000080;"71153/USZ/TR 60 1470;14;2";CB716000000001;80;14;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000081;"71153/USZ/TR 60 1470;14;3";CB716000000001;81;14;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000082;"71153/USZ/TR 60 1470;14;4";CB716000000001;82;14;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000083;"71153/USZ/TR 60 1470;14;5";CB716000000001;83;14;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000084;"71153/USZ/TR 60 1470;14;6";CB716000000001;84;14;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000085;"71153/USZ/TR 60 1470;15;1";CB716000000001;85;15;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000086;"71153/USZ/TR 60 1470;15;2";CB716000000001;86;15;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000087;"71153/USZ/TR 60 1470;15;3";CB716000000001;87;15;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000088;"71153/USZ/TR 60 1470;15;4";CB716000000001;88;15;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000089;"71153/USZ/TR 60 1470;15;5";CB716000000001;89;15;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000090;"71153/USZ/TR 60 1470;15;6";CB716000000001;90;15;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000091;"71153/USZ/TR 60 1470;16;1";CB716000000001;91;16;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000092;"71153/USZ/TR 60 1470;16;2";CB716000000001;92;16;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000093;"71153/USZ/TR 60 1470;16;3";CB716000000001;93;16;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000094;"71153/USZ/TR 60 1470;16;4";CB716000000001;94;16;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000095;"71153/USZ/TR 60 1470;16;5";CB716000000001;95;16;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000096;"71153/USZ/TR 60 1470;16;6";CB716000000001;96;16;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000097;"71153/USZ/TR 60 1470;17;1";CB716000000001;97;17;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000098;"71153/USZ/TR 60 1470;17;2";CB716000000001;98;17;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000099;"71153/USZ/TR 60 1470;17;3";CB716000000001;99;17;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000100;"71153/USZ/TR 60 1470;17;4";CB716000000001;100;17;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000101;"71153/USZ/TR 60 1470;17;5";CB716000000001;101;17;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000102;"71153/USZ/TR 60 1470;17;6";CB716000000001;102;17;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000103;"71153/USZ/TR 60 1470;18;1";CB716000000001;103;18;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000104;"71153/USZ/TR 60 1470;18;2";CB716000000001;104;18;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000105;"71153/USZ/TR 60 1470;18;3";CB716000000001;105;18;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000106;"71153/USZ/TR 60 1470;18;4";CB716000000001;106;18;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000107;"71153/USZ/TR 60 1470;18;5";CB716000000001;107;18;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000108;"71153/USZ/TR 60 1470;18;6";CB716000000001;108;18;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000109;"71153/USZ/TR 60 1470;19;1";CB716000000001;109;19;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000110;"71153/USZ/TR 60 1470;19;2";CB716000000001;110;19;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000111;"71153/USZ/TR 60 1470;19;3";CB716000000001;111;19;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000112;"71153/USZ/TR 60 1470;19;4";CB716000000001;112;19;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000113;"71153/USZ/TR 60 1470;19;5";CB716000000001;113;19;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000114;"71153/USZ/TR 60 1470;19;6";CB716000000001;114;19;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000115;"71153/USZ/TR 60 1470;20;1";CB716000000001;115;20;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000116;"71153/USZ/TR 60 1470;20;2";CB716000000001;116;20;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000117;"71153/USZ/TR 60 1470;20;3";CB716000000001;117;20;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000118;"71153/USZ/TR 60 1470;20;4";CB716000000001;118;20;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000119;"71153/USZ/TR 60 1470;20;5";CB716000000001;119;20;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000120;"71153/USZ/TR 60 1470;20;6";CB716000000001;120;20;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000121;"71153/USZ/TR 60 1470;21;1";CB716000000001;121;21;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000122;"71153/USZ/TR 60 1470;21;2";CB716000000001;122;21;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000123;"71153/USZ/TR 60 1470;21;3";CB716000000001;123;21;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000124;"71153/USZ/TR 60 1470;21;4";CB716000000001;124;21;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000125;"71153/USZ/TR 60 1470;21;5";CB716000000001;125;21;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000126;"71153/USZ/TR 60 1470;21;6";CB716000000001;126;21;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000127;"71153/USZ/TR 60 1470;22;1";CB716000000001;127;22;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000128;"71153/USZ/TR 60 1470;22;2";CB716000000001;128;22;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000129;"71153/USZ/TR 60 1470;22;3";CB716000000001;129;22;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000130;"71153/USZ/TR 60 1470;22;4";CB716000000001;130;22;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000131;"71153/USZ/TR 60 1470;22;5";CB716000000001;131;22;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000132;"71153/USZ/TR 60 1470;22;6";CB716000000001;132;22;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000133;"71153/USZ/TR 60 1470;23;1";CB716000000001;133;23;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000134;"71153/USZ/TR 60 1470;23;2";CB716000000001;134;23;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000135;"71153/USZ/TR 60 1470;23;3";CB716000000001;135;23;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000136;"71153/USZ/TR 60 1470;23;4";CB716000000001;136;23;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000137;"71153/USZ/TR 60 1470;23;5";CB716000000001;137;23;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000138;"71153/USZ/TR 60 1470;23;6";CB716000000001;138;23;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000139;"71153/USZ/TR 60 1470;24;1";CB716000000001;139;24;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000140;"71153/USZ/TR 60 1470;24;2";CB716000000001;140;24;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000141;"71153/USZ/TR 60 1470;24;3";CB716000000001;141;24;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000142;"71153/USZ/TR 60 1470;24;4";CB716000000001;142;24;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000143;"71153/USZ/TR 60 1470;24;5";CB716000000001;143;24;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000144;"71153/USZ/TR 60 1470;24;6";CB716000000001;144;24;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000145;"71153/USZ/TR 60 1471;1;1";CB716000000002;1;1;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000146;"71153/USZ/TR 60 1471;1;2";CB716000000002;2;1;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000147;"71153/USZ/TR 60 1471;1;3";CB716000000002;3;1;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000148;"71153/USZ/TR 60 1471;1;4";CB716000000002;4;1;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000149;"71153/USZ/TR 60 1471;1;5";CB716000000002;5;1;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000150;"71153/USZ/TR 60 1471;1;6";CB716000000002;6;1;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000151;"71153/USZ/TR 60 1471;2;1";CB716000000002;7;2;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000152;"71153/USZ/TR 60 1471;2;2";CB716000000002;8;2;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000153;"71153/USZ/TR 60 1471;2;3";CB716000000002;9;2;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000154;"71153/USZ/TR 60 1471;2;4";CB716000000002;10;2;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000155;"71153/USZ/TR 60 1471;2;5";CB716000000002;11;2;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000156;"71153/USZ/TR 60 1471;2;6";CB716000000002;12;2;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000157;"71153/USZ/TR 60 1471;3;1";CB716000000002;13;3;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000158;"71153/USZ/TR 60 1471;3;2";CB716000000002;14;3;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000159;"71153/USZ/TR 60 1471;3;3";CB716000000002;15;3;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000160;"71153/USZ/TR 60 1471;3;4";CB716000000002;16;3;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000161;"71153/USZ/TR 60 1471;3;5";CB716000000002;17;3;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000162;"71153/USZ/TR 60 1471;3;6";CB716000000002;18;3;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000163;"71153/USZ/TR 60 1471;4;1";CB716000000002;19;4;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000164;"71153/USZ/TR 60 1471;4;2";CB716000000002;20;4;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000165;"71153/USZ/TR 60 1471;4;3";CB716000000002;21;4;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000166;"71153/USZ/TR 60 1471;4;4";CB716000000002;22;4;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000167;"71153/USZ/TR 60 1471;4;5";CB716000000002;23;4;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000168;"71153/USZ/TR 60 1471;4;6";CB716000000002;24;4;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000169;"71153/USZ/TR 60 1471;5;1";CB716000000002;25;5;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000170;"71153/USZ/TR 60 1471;5;2";CB716000000002;26;5;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000171;"71153/USZ/TR 60 1471;5;3";CB716000000002;27;5;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000172;"71153/USZ/TR 60 1471;5;4";CB716000000002;28;5;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000173;"71153/USZ/TR 60 1471;5;5";CB716000000002;29;5;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000174;"71153/USZ/TR 60 1471;5;6";CB716000000002;30;5;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000175;"71153/USZ/TR 60 1471;6;1";CB716000000002;31;6;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000176;"71153/USZ/TR 60 1471;6;2";CB716000000002;32;6;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000177;"71153/USZ/TR 60 1471;6;3";CB716000000002;33;6;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000178;"71153/USZ/TR 60 1471;6;4";CB716000000002;34;6;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000179;"71153/USZ/TR 60 1471;6;5";CB716000000002;35;6;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000180;"71153/USZ/TR 60 1471;6;6";CB716000000002;36;6;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000181;"71153/USZ/TR 60 1471;7;1";CB716000000002;37;7;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000182;"71153/USZ/TR 60 1471;7;2";CB716000000002;38;7;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000183;"71153/USZ/TR 60 1471;7;3";CB716000000002;39;7;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000184;"71153/USZ/TR 60 1471;7;4";CB716000000002;40;7;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000185;"71153/USZ/TR 60 1471;7;5";CB716000000002;41;7;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000186;"71153/USZ/TR 60 1471;7;6";CB716000000002;42;7;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000187;"71153/USZ/TR 60 1471;8;1";CB716000000002;43;8;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000188;"71153/USZ/TR 60 1471;8;2";CB716000000002;44;8;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
