sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
SF716000000024;ND716000000246;AD710908000079;ZP716000000025;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000025;ND716000000247;AD710908000080;ZP716000000025;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000026;ND716000000248;AD710908000290;ZP716000000024;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000027;ND716000000249;AD710908000291;ZP716000000024;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000028;ND716000000250;AD710908000292;ZP716000000024;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000029;ND716000000251;AD710908000294;ZP716000000024;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000030;ND716000000252;AD710908000287;ZP716000000023;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000031;ND716000000253;AD710908000288;ZP716000000023;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000032;ND716000000254;AD710908000293;ZP716000000023;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000033;ND716000000254;AD710908000293;ZP716000000023;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000034;ND716000000255;AD710908000289;ZP716000000024;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000035;ND716000000256;AD710908000197;ZP716000000031;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000036;ND716000000257;AD710908000196;ZP716000000033;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000037;ND716000000258;AD710908000198;ZP716000000033;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000038;ND716000000259;AD710908000201;ZP716000000033;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000039;ND716000000260;AD710908000075;ZP716000000029;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000040;ND716000000261;AD710908000261;ZP716000000029;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000041;ND716000000262;AD710908000262;ZP716000000029;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000042;ND716000000263;AD710908000072;ZP716000000030;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000043;ND716000000264;AD710908000015;ZP716000000028;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000044;ND716000000265;AD710908000073;ZP716000000028;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000045;ND716000000266;AD710908000077;ZP716000000028;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000046;ND716000000267;AD710908000013;ZP716000000029;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000047;ND716000000268;AD710908000071;ZP716000000027;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000048;ND716000000268;AD710908000071;ZP716000000027;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000049;ND716000000269;AD710908000330;ZP716000000027;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000050;ND716000000270;AD710908000331;ZP716000000027;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000051;ND716000000271;AD710908000014;ZP716000000028;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000052;ND716000000272;AD710908000185;ZP716000000036;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000053;ND716000000272;AD710908000185;ZP716000000036;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000054;ND716000000273;AD710908000212;ZP716000000037;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000055;ND716000000273;AD710908000212;ZP716000000037;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000056;ND716000000274;AD710908000213;ZP716000000037;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000057;ND716000000275;AD710908000312;ZP716000000037;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000058;ND716000000276;AD710908000186;ZP716000000034;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000059;ND716000000277;AD710908000172;ZP716000000035;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000060;ND716000000278;AD710908000175;ZP716000000035;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000061;ND716000000279;AD710908000184;ZP716000000036;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000062;ND716000000279;AD710908000184;ZP716000000036;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000063;ND716000000280;AD710908000173;ZP716000000034;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000064;ND716000000281;AD710908000174;ZP716000000034;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000065;ND716000000282;AD710908000176;ZP716000000034;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000066;ND716000000283;AD710908000177;ZP716000000034;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000067;ND716000000284;AD710908000202;ZP716000000033;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000068;ND716000000285;AD710908000187;ZP716000000032;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000069;ND716000000286;AD710908000199;ZP716000000032;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000070;ND716000000287;AD710908000200;ZP716000000032;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000071;ND716000000288;AD710908000157;ZP716000000003;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000072;ND716000000289;AD710908000149;ZP716000000004;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000073;ND716000000290;AD710908000152;ZP716000000004;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000074;ND716000000291;AD710908000300;ZP716000000004;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000075;ND716000000292;AD710908000151;ZP716000000002;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000076;ND716000000293;AD710908000156;ZP716000000002;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000077;ND716000000294;AD710908000159;ZP716000000002;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000078;ND716000000295;AD710908000155;ZP716000000003;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000079;ND716000000296;AD710908000283;ZP716000000001;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000080;ND716000000297;AD710908000286;ZP716000000001;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000081;ND716000000298;AD710908000021;ZP716000000002;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000082;ND716000000299;AD710908000148;ZP716000000002;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000083;ND716000000300;AD710908000268;ZP716000000001;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000084;ND716000000301;AD710908000274;ZP716000000001;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000085;ND716000000302;AD710908000279;ZP716000000001;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000086;ND716000000303;AD710908000108;ZP716000000008;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000087;ND716000000304;AD710908000298;ZP716000000008;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000088;ND716000000305;AD710908000105;ZP716000000009;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000089;ND716000000306;AD710908000107;ZP716000000009;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000090;ND716000000307;AD710908000147;ZP716000000007;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000091;ND716000000308;AD710908000101;ZP716000000008;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000092;ND716000000309;AD710908000103;ZP716000000008;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000093;ND716000000310;AD710908000106;ZP716000000008;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000094;ND716000000311;AD710908000109;ZP716000000006;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000095;ND716000000311;AD710908000109;ZP716000000006;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000096;ND716000000312;AD710908000102;ZP716000000007;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000097;ND716000000313;AD710908000104;ZP716000000007;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000098;ND716000000314;AD710908000110;ZP716000000007;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000099;ND716000000315;AD710908000150;ZP716000000005;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000100;ND716000000316;AD710908000153;ZP716000000005;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000101;ND716000000317;AD710908000154;ZP716000000005;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000102;ND716000000318;AD710908000158;ZP716000000005;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000103;ND716000000319;AD710908000042;ZP716000000013;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000104;ND716000000320;AD710908000043;ZP716000000013;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000105;ND716000000321;AD710908000044;ZP716000000013;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000106;ND716000000322;AD710908000045;ZP716000000013;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000107;ND716000000323;AD710908000193;ZP716000000012;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000108;ND716000000324;AD710908000194;ZP716000000012;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000109;ND716000000325;AD710908000243;ZP716000000012;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000110;ND716000000326;AD710908000244;ZP716000000012;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000111;ND716000000327;AD710908000207;ZP716000000010;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000112;ND716000000328;AD710908000208;ZP716000000010;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000113;ND716000000329;AD710908000145;ZP716000000011;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000114;ND716000000330;AD710908000146;ZP716000000011;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000115;ND716000000331;AD710908000111;ZP716000000009;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000116;ND716000000332;AD710908000216;ZP716000000009;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000117;ND716000000333;AD710908000016;ZP716000000010;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000118;ND716000000334;AD710908000144;ZP716000000010;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000119;ND716000000335;AD710908000183;ZP716000000017;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000120;ND716000000336;AD710908000189;ZP716000000018;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000121;ND716000000337;AD710908000191;ZP716000000018;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000122;ND716000000338;AD710908000192;ZP716000000018;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000123;ND716000000339;AD710908000245;ZP716000000016;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000124;ND716000000340;AD710908000179;ZP716000000017;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000125;ND716000000341;AD710908000180;ZP716000000017;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000126;ND716000000342;AD710908000181;ZP716000000017;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000127;ND716000000343;AD710908000195;ZP716000000014;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000128;ND716000000344;AD710908000036;ZP716000000015;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000129;ND716000000345;AD710908000209;ZP716000000015;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000130;ND716000000346;AD710908000178;ZP716000000016;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000131;ND716000000347;AD710908000249;ZP716000000013;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000132;ND716000000348;AD710908000034;ZP716000000014;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000133;ND716000000349;AD710908000035;ZP716000000014;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000134;ND716000000350;AD710908000037;ZP716000000014;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000135;ND716000000351;AD710908000305;ZP716000000061;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000136;ND716000000352;AD710908000306;ZP716000000061;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000137;ND716000000353;AD710908000307;ZP716000000061;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000138;ND716000000354;AD710908000308;ZP716000000061;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000139;ND716000000355;AD710908000237;ZP716000000060;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000140;ND716000000356;AD710908000238;ZP716000000060;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000141;ND716000000357;AD710908000240;ZP716000000060;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000142;ND716000000358;AD710908000304;ZP716000000061;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000143;ND716000000359;AD710908000219;ZP716000000059;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000144;ND716000000360;AD710908000310;ZP716000000059;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000145;ND716000000361;AD710908000234;ZP716000000060;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000146;ND716000000362;AD710908000235;ZP716000000060;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000147;ND716000000363;AD710908000166;ZP716000000058;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000148;ND716000000364;AD710908000220;ZP716000000058;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000149;ND716000000365;AD710908000188;ZP716000000059;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000150;ND716000000366;AD710908000218;ZP716000000059;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000151;ND716000000367;AD710908000087;ZP716000000064;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000152;ND716000000368;AD710908000049;ZP716000000065;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000153;ND716000000369;AD710908000054;ZP716000000065;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000154;ND716000000370;AD710908000056;ZP716000000065;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000155;ND716000000371;AD710908000060;ZP716000000063;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000156;ND716000000372;AD710908000098;ZP716000000063;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000157;ND716000000373;AD710908000053;ZP716000000064;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000158;ND716000000374;AD710908000086;ZP716000000064;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000159;ND716000000375;AD710908000140;ZP716000000062;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000160;ND716000000376;AD710908000039;ZP716000000063;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000161;ND716000000377;AD710908000040;ZP716000000063;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000162;ND716000000378;AD710908000047;ZP716000000063;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000163;ND716000000379;AD710908000130;ZP716000000062;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000164;ND716000000380;AD710908000132;ZP716000000062;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000165;ND716000000381;AD710908000135;ZP716000000062;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000166;ND716000000382;AD710908000137;ZP716000000062;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000167;ND716000000383;AD710908000048;ZP716000000069;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000168;ND716000000384;AD710908000055;ZP716000000069;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000169;ND716000000385;AD710908000057;ZP716000000069;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000170;ND716000000386;AD710908000058;ZP716000000069;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000171;ND716000000387;AD710908000327;ZP716000000067;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000172;ND716000000388;AD710908000334;ZP716000000067;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000173;ND716000000389;AD710908000046;ZP716000000068;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000174;ND716000000390;AD710908000050;ZP716000000068;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000175;ND716000000391;AD710908000241;ZP716000000066;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000176;ND716000000392;AD710908000125;ZP716000000067;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000177;ND716000000393;AD710908000242;ZP716000000067;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000178;ND716000000394;AD710908000309;ZP716000000067;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000179;ND716000000395;AD710908000059;ZP716000000065;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000180;ND716000000396;AD710908000215;ZP716000000066;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000181;ND716000000397;AD710908000236;ZP716000000066;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000182;ND716000000398;AD710908000239;ZP716000000066;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000183;ND716000000399;AD710908000084;ZP716000000074;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000184;ND716000000400;AD710908000085;ZP716000000074;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000185;ND716000000401;AD710908000099;ZP716000000074;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000186;ND716000000402;AD710908000091;ZP716000000075;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000187;ND716000000403;AD710908000088;ZP716000000073;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000188;ND716000000404;AD710908000089;ZP716000000073;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000189;ND716000000405;AD710908000092;ZP716000000073;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000190;ND716000000406;AD710908000100;ZP716000000073;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000191;ND716000000407;AD710908000097;ZP716000000071;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000192;ND716000000408;AD710908000090;ZP716000000072;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000193;ND716000000409;AD710908000095;ZP716000000072;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000194;ND716000000410;AD710908000096;ZP716000000072;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000195;ND716000000411;AD710908000051;ZP716000000070;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000196;ND716000000412;AD710908000052;ZP716000000070;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000197;ND716000000413;AD710908000083;ZP716000000071;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000198;ND716000000414;AD710908000093;ZP716000000071;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000199;ND716000000415;AD710908000228;ZP716000000041;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000200;ND716000000416;AD710908000221;ZP716000000042;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000201;ND716000000417;AD710908000225;ZP716000000042;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000202;ND716000000418;AD710908000227;ZP716000000042;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000203;ND716000000419;AD710908000222;ZP716000000041;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000204;ND716000000420;AD710908000223;ZP716000000041;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000205;ND716000000421;AD710908000224;ZP716000000041;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000206;ND716000000422;AD710908000226;ZP716000000041;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000207;ND716000000423;AD710908000205;ZP716000000039;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000208;ND716000000424;AD710908000232;ZP716000000039;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000209;ND716000000425;AD710908000311;ZP716000000039;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000210;ND716000000426;AD710908000206;ZP716000000040;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000211;ND716000000427;AD710908000313;ZP716000000038;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000212;ND716000000428;AD710908000333;ZP716000000038;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000213;ND716000000429;AD710908000203;ZP716000000039;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000214;ND716000000430;AD710908000204;ZP716000000039;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000215;ND716000000431;AD710908000317;ZP716000000046;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000216;ND716000000432;AD710908000065;ZP716000000047;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000217;ND716000000433;AD710908000066;ZP716000000047;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000218;ND716000000433;AD710908000066;ZP716000000047;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000219;ND716000000434;AD710908000069;ZP716000000047;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000220;ND716000000434;AD710908000069;ZP716000000047;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000221;ND716000000435;AD710908000314;ZP716000000045;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000222;ND716000000436;AD710908000063;ZP716000000046;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000223;ND716000000437;AD710908000070;ZP716000000046;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000224;ND716000000437;AD710908000070;ZP716000000046;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000225;ND716000000438;AD710908000316;ZP716000000046;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000226;ND716000000439;AD710908000064;ZP716000000044;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000227;ND716000000439;AD710908000064;ZP716000000044;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000228;ND716000000440;AD710908000067;ZP716000000044;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000229;ND716000000441;AD710908000315;ZP716000000044;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000230;ND716000000441;AD710908000315;ZP716000000044;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000231;ND716000000442;AD710908000214;ZP716000000045;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000232;ND716000000443;AD710908000231;ZP716000000042;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000233;ND716000000444;AD710908000229;ZP716000000043;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000234;ND716000000445;AD710908000230;ZP716000000043;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000235;ND716000000446;AD710908000233;ZP716000000043;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000236;ND716000000447;AD710908000122;ZP716000000052;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000237;ND716000000447;AD710908000122;ZP716000000052;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000238;ND716000000448;AD710908000322;ZP716000000052;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000239;ND716000000448;AD710908000322;ZP716000000052;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000240;ND716000000449;AD710908000113;ZP716000000053;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000241;ND716000000450;AD710908000321;ZP716000000053;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000242;ND716000000451;AD710908000112;ZP716000000051;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000243;ND716000000452;AD710908000114;ZP716000000051;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000244;ND716000000453;AD710908000120;ZP716000000051;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000245;ND716000000454;AD710908000323;ZP716000000051;;;;R;;;;RB;;29/08/2022 00:00;;;;
