rt_id;rt_code;rt_code_ext;rt_fo_code;rt_fo_ordr;rt_comment;rt_creadat;rt_majdate;rt_majsrc;rt_abddate;rt_abdsrc
716000000026;RT716000000336;;FO716000000296;4;;2022-08-29 00:00:00;;;;
716000000027;RT716000000337;;FO716000000321;1;;2022-08-29 00:00:00;;;;
716000000028;RT716000000337;;FO716000000153;2;;2022-08-29 00:00:00;;;;
716000000029;RT716000000337;;FO716000000009;3;;2022-08-29 00:00:00;;;;
716000000030;RT716000000337;;FO716000000297;4;;2022-08-29 00:00:00;;;;
716000000031;RT716000000338;;FO716000000154;1;;2022-08-29 00:00:00;;;;
716000000032;RT716000000338;;FO716000000298;2;;2022-08-29 00:00:00;;;;
716000000033;RT716000000338;;FO716000000010;3;;2022-08-29 00:00:00;;;;
716000000034;RT716000000338;;FO716000000322;4;;2022-08-29 00:00:00;;;;
716000000035;RT716000000339;;FO716000000155;1;;2022-08-29 00:00:00;;;;
716000000036;RT716000000339;;FO716000000323;2;;2022-08-29 00:00:00;;;;
716000000037;RT716000000339;;FO716000000011;3;;2022-08-29 00:00:00;;;;
716000000038;RT716000000339;;FO716000000299;4;;2022-08-29 00:00:00;;;;
716000000039;RT716000000340;;FO716000000012;1;;2022-08-29 00:00:00;;;;
716000000040;RT716000000340;;FO716000000324;2;;2022-08-29 00:00:00;;;;
716000000041;RT716000000340;;FO716000000300;3;;2022-08-29 00:00:00;;;;
716000000042;RT716000000340;;FO716000000156;4;;2022-08-29 00:00:00;;;;
716000000043;RT716000000341;;FO716000000301;1;;2022-08-29 00:00:00;;;;
716000000044;RT716000000341;;FO716000000157;2;;2022-08-29 00:00:00;;;;
716000000045;RT716000000341;;FO716000000349;3;;2022-08-29 00:00:00;;;;
716000000046;RT716000000341;;FO716000000013;4;;2022-08-29 00:00:00;;;;
716000000047;RT716000000341;;FO716000000325;5;;2022-08-29 00:00:00;;;;
716000000048;RT716000000342;;FO716000000326;1;;2022-08-29 00:00:00;;;;
716000000049;RT716000000342;;FO716000000350;2;;2022-08-29 00:00:00;;;;
716000000050;RT716000000342;;FO716000000158;3;;2022-08-29 00:00:00;;;;
716000000051;RT716000000342;;FO716000000302;4;;2022-08-29 00:00:00;;;;
716000000052;RT716000000342;;FO716000000014;5;;2022-08-29 00:00:00;;;;
716000000053;RT716000000343;;FO716000000351;1;;2022-08-29 00:00:00;;;;
716000000054;RT716000000343;;FO716000000327;2;;2022-08-29 00:00:00;;;;
716000000055;RT716000000343;;FO716000000303;3;;2022-08-29 00:00:00;;;;
716000000056;RT716000000343;;FO716000000015;4;;2022-08-29 00:00:00;;;;
716000000057;RT716000000343;;FO716000000159;5;;2022-08-29 00:00:00;;;;
716000000058;RT716000000344;;FO716000000160;1;;2022-08-29 00:00:00;;;;
716000000059;RT716000000344;;FO716000000304;2;;2022-08-29 00:00:00;;;;
716000000060;RT716000000344;;FO716000000016;3;;2022-08-29 00:00:00;;;;
716000000061;RT716000000344;;FO716000000328;4;;2022-08-29 00:00:00;;;;
716000000062;RT716000000344;;FO716000000352;5;;2022-08-29 00:00:00;;;;
716000000063;RT716000000345;;FO716000000161;1;;2022-08-29 00:00:00;;;;
716000000064;RT716000000345;;FO716000000017;2;;2022-08-29 00:00:00;;;;
716000000065;RT716000000345;;FO716000000305;3;;2022-08-29 00:00:00;;;;
716000000066;RT716000000345;;FO716000000353;4;;2022-08-29 00:00:00;;;;
716000000067;RT716000000345;;FO716000000329;5;;2022-08-29 00:00:00;;;;
716000000068;RT716000000346;;FO716000000330;1;;2022-08-29 00:00:00;;;;
716000000069;RT716000000346;;FO716000000354;2;;2022-08-29 00:00:00;;;;
716000000070;RT716000000346;;FO716000000162;3;;2022-08-29 00:00:00;;;;
716000000071;RT716000000346;;FO716000000306;4;;2022-08-29 00:00:00;;;;
716000000072;RT716000000346;;FO716000000018;5;;2022-08-29 00:00:00;;;;
716000000073;RT716000000347;;FO716000000331;1;;2022-08-29 00:00:00;;;;
716000000074;RT716000000347;;FO716000000355;2;;2022-08-29 00:00:00;;;;
716000000075;RT716000000347;;FO716000000163;3;;2022-08-29 00:00:00;;;;
716000000076;RT716000000347;;FO716000000307;4;;2022-08-29 00:00:00;;;;
716000000077;RT716000000347;;FO716000002899;5;;2022-08-29 00:00:00;;;;
716000000078;RT716000000347;;FO716000000019;6;;2022-08-29 00:00:00;;;;
716000000079;RT716000000348;;FO716000000020;1;;2022-08-29 00:00:00;;;;
716000000080;RT716000000348;;FO716000000332;2;;2022-08-29 00:00:00;;;;
716000000081;RT716000000348;;FO716000000356;3;;2022-08-29 00:00:00;;;;
716000000082;RT716000000348;;FO716000000164;4;;2022-08-29 00:00:00;;;;
716000000083;RT716000000348;;FO716000000308;5;;2022-08-29 00:00:00;;;;
716000000084;RT716000000348;;FO716000002900;6;;2022-08-29 00:00:00;;;;
716000000085;RT716000000349;;FO716000000165;1;;2022-08-29 00:00:00;;;;
716000000086;RT716000000349;;FO716000002901;2;;2022-08-29 00:00:00;;;;
716000000087;RT716000000349;;FO716000000309;3;;2022-08-29 00:00:00;;;;
716000000088;RT716000000349;;FO716000000021;4;;2022-08-29 00:00:00;;;;
716000000089;RT716000000349;;FO716000000333;5;;2022-08-29 00:00:00;;;;
716000000090;RT716000000349;;FO716000000357;6;;2022-08-29 00:00:00;;;;
716000000091;RT716000000350;;FO716000000310;1;;2022-08-29 00:00:00;;;;
716000000092;RT716000000350;;FO716000002902;2;;2022-08-29 00:00:00;;;;
716000000093;RT716000000350;;FO716000000334;3;;2022-08-29 00:00:00;;;;
716000000094;RT716000000350;;FO716000000022;4;;2022-08-29 00:00:00;;;;
716000000095;RT716000000350;;FO716000000358;5;;2022-08-29 00:00:00;;;;
716000000096;RT716000000350;;FO716000000166;6;;2022-08-29 00:00:00;;;;
716000000097;RT716000000351;;FO716000000167;1;;2022-08-29 00:00:00;;;;
716000000098;RT716000000351;;FO716000000023;2;;2022-08-29 00:00:00;;;;
716000000099;RT716000000351;;FO716000000359;3;;2022-08-29 00:00:00;;;;
716000000100;RT716000000351;;FO716000000335;4;;2022-08-29 00:00:00;;;;
716000000101;RT716000000351;;FO716000002903;5;;2022-08-29 00:00:00;;;;
716000000102;RT716000000351;;FO716000000311;6;;2022-08-29 00:00:00;;;;
716000000103;RT716000000352;;FO716000000168;1;;2022-08-29 00:00:00;;;;
716000000104;RT716000000352;;FO716000000312;2;;2022-08-29 00:00:00;;;;
716000000105;RT716000000352;;FO716000000336;3;;2022-08-29 00:00:00;;;;
716000000106;RT716000000352;;FO716000002904;4;;2022-08-29 00:00:00;;;;
716000000107;RT716000000352;;FO716000000024;5;;2022-08-29 00:00:00;;;;
716000000108;RT716000000352;;FO716000000360;6;;2022-08-29 00:00:00;;;;
716000000109;RT716000000353;;FO716000000169;1;;2022-08-29 00:00:00;;;;
716000000110;RT716000000353;;FO716000000025;2;;2022-08-29 00:00:00;;;;
716000000111;RT716000000353;;FO716000000361;3;;2022-08-29 00:00:00;;;;
716000000112;RT716000000354;;FO716000000170;1;;2022-08-29 00:00:00;;;;
716000000113;RT716000000354;;FO716000000026;2;;2022-08-29 00:00:00;;;;
716000000114;RT716000000354;;FO716000000362;3;;2022-08-29 00:00:00;;;;
716000000115;RT716000000355;;FO716000000171;1;;2022-08-29 00:00:00;;;;
716000000116;RT716000000355;;FO716000000363;2;;2022-08-29 00:00:00;;;;
716000000117;RT716000000355;;FO716000000027;3;;2022-08-29 00:00:00;;;;
716000000118;RT716000000356;;FO716000000364;1;;2022-08-29 00:00:00;;;;
716000000119;RT716000000356;;FO716000000028;2;;2022-08-29 00:00:00;;;;
716000000120;RT716000000356;;FO716000000172;3;;2022-08-29 00:00:00;;;;
716000000121;RT716000000357;;FO716000000029;1;;2022-08-29 00:00:00;;;;
716000000122;RT716000000357;;FO716000000365;2;;2022-08-29 00:00:00;;;;
716000000123;RT716000000357;;FO716000000173;3;;2022-08-29 00:00:00;;;;
716000000124;RT716000000358;;FO716000000366;1;;2022-08-29 00:00:00;;;;
716000000125;RT716000000358;;FO716000000174;2;;2022-08-29 00:00:00;;;;
716000000126;RT716000000358;;FO716000000030;3;;2022-08-29 00:00:00;;;;
716000000127;RT716000000359;;FO716000000175;1;;2022-08-29 00:00:00;;;;
716000000128;RT716000000359;;FO716000000367;2;;2022-08-29 00:00:00;;;;
716000000129;RT716000000359;;FO716000000031;3;;2022-08-29 00:00:00;;;;
716000000130;RT716000000359;;FO716000000391;4;;2022-08-29 00:00:00;;;;
716000000131;RT716000000360;;FO716000000368;1;;2022-08-29 00:00:00;;;;
716000000132;RT716000000360;;FO716000000392;2;;2022-08-29 00:00:00;;;;
716000000133;RT716000000360;;FO716000000032;3;;2022-08-29 00:00:00;;;;
716000000134;RT716000000360;;FO716000000176;4;;2022-08-29 00:00:00;;;;
716000000135;RT716000000361;;FO716000000033;1;;2022-08-29 00:00:00;;;;
716000000136;RT716000000361;;FO716000000177;2;;2022-08-29 00:00:00;;;;
716000000137;RT716000000361;;FO716000000369;3;;2022-08-29 00:00:00;;;;
716000000138;RT716000000361;;FO716000000393;4;;2022-08-29 00:00:00;;;;
716000000139;RT716000000362;;FO716000000178;1;;2022-08-29 00:00:00;;;;
716000000140;RT716000000362;;FO716000000370;2;;2022-08-29 00:00:00;;;;
716000000141;RT716000000362;;FO716000000034;3;;2022-08-29 00:00:00;;;;
716000000142;RT716000000362;;FO716000000394;4;;2022-08-29 00:00:00;;;;
716000000143;RT716000000363;;FO716000000179;1;;2022-08-29 00:00:00;;;;
716000000144;RT716000000363;;FO716000000371;2;;2022-08-29 00:00:00;;;;
716000000145;RT716000000363;;FO716000000395;3;;2022-08-29 00:00:00;;;;
716000000146;RT716000000363;;FO716000000035;4;;2022-08-29 00:00:00;;;;
716000000147;RT716000000364;;FO716000000396;1;;2022-08-29 00:00:00;;;;
716000000148;RT716000000364;;FO716000000180;2;;2022-08-29 00:00:00;;;;
716000000149;RT716000000364;;FO716000000036;3;;2022-08-29 00:00:00;;;;
716000000150;RT716000000364;;FO716000000372;4;;2022-08-29 00:00:00;;;;
716000000151;RT716000000365;;FO716000000181;1;;2022-08-29 00:00:00;;;;
716000000152;RT716000000365;;FO716000000421;2;;2022-08-29 00:00:00;;;;
716000000153;RT716000000365;;FO716000000373;3;;2022-08-29 00:00:00;;;;
716000000154;RT716000000365;;FO716000000397;4;;2022-08-29 00:00:00;;;;
716000000155;RT716000000365;;FO716000000037;5;;2022-08-29 00:00:00;;;;
716000000156;RT716000000366;;FO716000000374;1;;2022-08-29 00:00:00;;;;
716000000157;RT716000000366;;FO716000000182;2;;2022-08-29 00:00:00;;;;
716000000158;RT716000000366;;FO716000000038;3;;2022-08-29 00:00:00;;;;
716000000159;RT716000000366;;FO716000000422;4;;2022-08-29 00:00:00;;;;
716000000160;RT716000000366;;FO716000000398;5;;2022-08-29 00:00:00;;;;
716000000161;RT716000000367;;FO716000000183;1;;2022-08-29 00:00:00;;;;
716000000162;RT716000000367;;FO716000000423;2;;2022-08-29 00:00:00;;;;
716000000163;RT716000000367;;FO716000000375;3;;2022-08-29 00:00:00;;;;
716000000164;RT716000000367;;FO716000000399;4;;2022-08-29 00:00:00;;;;
716000000165;RT716000000367;;FO716000000039;5;;2022-08-29 00:00:00;;;;
716000000166;RT716000000368;;FO716000000400;1;;2022-08-29 00:00:00;;;;
716000000167;RT716000000368;;FO716000000424;2;;2022-08-29 00:00:00;;;;
716000000168;RT716000000368;;FO716000000184;3;;2022-08-29 00:00:00;;;;
716000000169;RT716000000368;;FO716000000376;4;;2022-08-29 00:00:00;;;;
716000000170;RT716000000368;;FO716000000040;5;;2022-08-29 00:00:00;;;;
716000000171;RT716000000369;;FO716000000425;1;;2022-08-29 00:00:00;;;;
716000000172;RT716000000369;;FO716000000401;2;;2022-08-29 00:00:00;;;;
716000000173;RT716000000369;;FO716000000377;3;;2022-08-29 00:00:00;;;;
716000000174;RT716000000369;;FO716000000041;4;;2022-08-29 00:00:00;;;;
716000000175;RT716000000369;;FO716000000185;5;;2022-08-29 00:00:00;;;;
716000000176;RT716000000370;;FO716000000186;1;;2022-08-29 00:00:00;;;;
716000000177;RT716000000370;;FO716000000426;2;;2022-08-29 00:00:00;;;;
716000000178;RT716000000370;;FO716000000378;3;;2022-08-29 00:00:00;;;;
716000000179;RT716000000370;;FO716000000402;4;;2022-08-29 00:00:00;;;;
716000000180;RT716000000370;;FO716000000042;5;;2022-08-29 00:00:00;;;;
716000000181;RT716000000371;;FO716000000187;1;;2022-08-29 00:00:00;;;;
716000000182;RT716000000371;;FO716000000451;2;;2022-08-29 00:00:00;;;;
716000000183;RT716000000371;;FO716000000427;3;;2022-08-29 00:00:00;;;;
716000000184;RT716000000371;;FO716000000043;4;;2022-08-29 00:00:00;;;;
716000000185;RT716000000371;;FO716000000379;5;;2022-08-29 00:00:00;;;;
716000000186;RT716000000371;;FO716000000403;6;;2022-08-29 00:00:00;;;;
716000000187;RT716000000372;;FO716000000044;1;;2022-08-29 00:00:00;;;;
716000000188;RT716000000372;;FO716000000380;2;;2022-08-29 00:00:00;;;;
716000000189;RT716000000372;;FO716000000404;3;;2022-08-29 00:00:00;;;;
716000000190;RT716000000372;;FO716000000452;4;;2022-08-29 00:00:00;;;;
716000000191;RT716000000372;;FO716000000428;5;;2022-08-29 00:00:00;;;;
716000000192;RT716000000372;;FO716000000188;6;;2022-08-29 00:00:00;;;;
716000000193;RT716000000373;;FO716000000453;1;;2022-08-29 00:00:00;;;;
716000000194;RT716000000373;;FO716000000429;2;;2022-08-29 00:00:00;;;;
716000000195;RT716000000373;;FO716000000381;3;;2022-08-29 00:00:00;;;;
716000000196;RT716000000373;;FO716000000189;4;;2022-08-29 00:00:00;;;;
716000000197;RT716000000373;;FO716000000405;5;;2022-08-29 00:00:00;;;;
716000000198;RT716000000373;;FO716000000045;6;;2022-08-29 00:00:00;;;;
716000000199;RT716000000374;;FO716000000454;1;;2022-08-29 00:00:00;;;;
716000000200;RT716000000374;;FO716000000046;2;;2022-08-29 00:00:00;;;;
716000000201;RT716000000374;;FO716000000382;3;;2022-08-29 00:00:00;;;;
716000000202;RT716000000374;;FO716000000430;4;;2022-08-29 00:00:00;;;;
716000000203;RT716000000374;;FO716000000406;5;;2022-08-29 00:00:00;;;;
716000000204;RT716000000374;;FO716000000190;6;;2022-08-29 00:00:00;;;;
716000000205;RT716000000375;;FO716000000407;1;;2022-08-29 00:00:00;;;;
716000000206;RT716000000375;;FO716000000383;2;;2022-08-29 00:00:00;;;;
716000000207;RT716000000375;;FO716000000047;3;;2022-08-29 00:00:00;;;;
716000000208;RT716000000375;;FO716000000455;4;;2022-08-29 00:00:00;;;;
716000000209;RT716000000375;;FO716000000191;5;;2022-08-29 00:00:00;;;;
716000000210;RT716000000375;;FO716000000431;6;;2022-08-29 00:00:00;;;;
716000000211;RT716000000376;;FO716000000048;1;;2022-08-29 00:00:00;;;;
716000000212;RT716000000376;;FO716000000432;2;;2022-08-29 00:00:00;;;;
716000000213;RT716000000376;;FO716000000456;3;;2022-08-29 00:00:00;;;;
716000000214;RT716000000376;;FO716000000192;4;;2022-08-29 00:00:00;;;;
716000000215;RT716000000376;;FO716000000384;5;;2022-08-29 00:00:00;;;;
716000000216;RT716000000376;;FO716000000408;6;;2022-08-29 00:00:00;;;;
716000000217;RT716000000377;;FO716000000049;1;;2022-08-29 00:00:00;;;;
716000000218;RT716000000377;;FO716000000193;2;;2022-08-29 00:00:00;;;;
716000000219;RT716000000377;;FO716000000457;3;;2022-08-29 00:00:00;;;;
716000000220;RT716000000378;;FO716000000050;1;;2022-08-29 00:00:00;;;;
716000000221;RT716000000378;;FO716000000194;2;;2022-08-29 00:00:00;;;;
716000000222;RT716000000378;;FO716000000458;3;;2022-08-29 00:00:00;;;;
716000000223;RT716000000379;;FO716000000459;1;;2022-08-29 00:00:00;;;;
716000000224;RT716000000379;;FO716000000195;2;;2022-08-29 00:00:00;;;;
716000000225;RT716000000379;;FO716000000051;3;;2022-08-29 00:00:00;;;;
716000000226;RT716000000380;;FO716000000052;1;;2022-08-29 00:00:00;;;;
716000000227;RT716000000380;;FO716000000460;2;;2022-08-29 00:00:00;;;;
716000000228;RT716000000380;;FO716000000196;3;;2022-08-29 00:00:00;;;;
716000000229;RT716000000381;;FO716000000053;1;;2022-08-29 00:00:00;;;;
716000000230;RT716000000381;;FO716000000197;2;;2022-08-29 00:00:00;;;;
716000000231;RT716000000381;;FO716000000461;3;;2022-08-29 00:00:00;;;;
716000000232;RT716000000382;;FO716000000462;1;;2022-08-29 00:00:00;;;;
716000000233;RT716000000382;;FO716000000198;2;;2022-08-29 00:00:00;;;;
716000000234;RT716000000382;;FO716000000054;3;;2022-08-29 00:00:00;;;;
716000000235;RT716000000383;;FO716000000055;1;;2022-08-29 00:00:00;;;;
716000000236;RT716000000383;;FO716000000463;2;;2022-08-29 00:00:00;;;;
716000000237;RT716000000383;;FO716000000475;3;;2022-08-29 00:00:00;;;;
716000000238;RT716000000383;;FO716000000199;4;;2022-08-29 00:00:00;;;;
716000000239;RT716000000384;;FO716000000056;1;;2022-08-29 00:00:00;;;;
716000000240;RT716000000384;;FO716000000200;2;;2022-08-29 00:00:00;;;;
716000000241;RT716000000384;;FO716000000476;3;;2022-08-29 00:00:00;;;;
716000000242;RT716000000384;;FO716000000464;4;;2022-08-29 00:00:00;;;;
716000000243;RT716000000385;;FO716000000465;1;;2022-08-29 00:00:00;;;;
716000000244;RT716000000385;;FO716000000477;2;;2022-08-29 00:00:00;;;;
716000000245;RT716000000385;;FO716000000057;3;;2022-08-29 00:00:00;;;;
716000000246;RT716000000385;;FO716000000201;4;;2022-08-29 00:00:00;;;;
716000000247;RT716000000386;;FO716000000202;1;;2022-08-29 00:00:00;;;;
716000000248;RT716000000386;;FO716000000478;2;;2022-08-29 00:00:00;;;;
716000000249;RT716000000386;;FO716000000466;3;;2022-08-29 00:00:00;;;;
716000000250;RT716000000386;;FO716000000058;4;;2022-08-29 00:00:00;;;;
716000000251;RT716000000387;;FO716000000059;1;;2022-08-29 00:00:00;;;;
716000000252;RT716000000387;;FO716000000203;2;;2022-08-29 00:00:00;;;;
716000000253;RT716000000387;;FO716000000479;3;;2022-08-29 00:00:00;;;;
716000000254;RT716000000387;;FO716000000467;4;;2022-08-29 00:00:00;;;;
716000000255;RT716000000388;;FO716000000468;1;;2022-08-29 00:00:00;;;;
716000000256;RT716000000388;;FO716000000480;2;;2022-08-29 00:00:00;;;;
716000000257;RT716000000388;;FO716000000060;3;;2022-08-29 00:00:00;;;;
716000000258;RT716000000388;;FO716000000204;4;;2022-08-29 00:00:00;;;;
716000000259;RT716000000389;;FO716000000205;1;;2022-08-29 00:00:00;;;;
716000000260;RT716000000389;;FO716000000481;2;;2022-08-29 00:00:00;;;;
716000000261;RT716000000389;;FO716000000061;3;;2022-08-29 00:00:00;;;;
716000000262;RT716000000390;;FO716000000482;1;;2022-08-29 00:00:00;;;;
716000000263;RT716000000390;;FO716000000062;2;;2022-08-29 00:00:00;;;;
716000000264;RT716000000390;;FO716000000206;3;;2022-08-29 00:00:00;;;;
716000000265;RT716000000391;;FO716000000207;1;;2022-08-29 00:00:00;;;;
716000000266;RT716000000391;;FO716000000063;2;;2022-08-29 00:00:00;;;;
716000000267;RT716000000391;;FO716000000483;3;;2022-08-29 00:00:00;;;;
716000000268;RT716000000392;;FO716000000484;1;;2022-08-29 00:00:00;;;;
716000000269;RT716000000392;;FO716000000064;2;;2022-08-29 00:00:00;;;;
716000000270;RT716000000392;;FO716000000208;3;;2022-08-29 00:00:00;;;;
716000000271;RT716000000393;;FO716000000485;1;;2022-08-29 00:00:00;;;;
716000000272;RT716000000393;;FO716000000065;2;;2022-08-29 00:00:00;;;;
716000000273;RT716000000393;;FO716000000209;3;;2022-08-29 00:00:00;;;;
716000000274;RT716000000394;;FO716000000486;1;;2022-08-29 00:00:00;;;;
716000000275;RT716000000394;;FO716000000210;2;;2022-08-29 00:00:00;;;;
716000000276;RT716000000394;;FO716000000066;3;;2022-08-29 00:00:00;;;;
716000000277;RT716000000395;;FO716000000211;1;;2022-08-29 00:00:00;;;;
716000000278;RT716000000395;;FO716000000067;2;;2022-08-29 00:00:00;;;;
716000000279;RT716000000395;;FO716000000499;3;;2022-08-29 00:00:00;;;;
716000000280;RT716000000395;;FO716000000487;4;;2022-08-29 00:00:00;;;;
716000000281;RT716000000396;;FO716000000212;1;;2022-08-29 00:00:00;;;;
716000000282;RT716000000396;;FO716000000488;2;;2022-08-29 00:00:00;;;;
716000000283;RT716000000396;;FO716000000068;3;;2022-08-29 00:00:00;;;;
716000000284;RT716000000396;;FO716000000500;4;;2022-08-29 00:00:00;;;;
716000000285;RT716000000397;;FO716000000501;1;;2022-08-29 00:00:00;;;;
716000000286;RT716000000397;;FO716000000213;2;;2022-08-29 00:00:00;;;;
716000000287;RT716000000397;;FO716000000069;3;;2022-08-29 00:00:00;;;;
716000000288;RT716000000397;;FO716000000489;4;;2022-08-29 00:00:00;;;;
716000000289;RT716000000398;;FO716000000502;1;;2022-08-29 00:00:00;;;;
716000000290;RT716000000398;;FO716000000070;2;;2022-08-29 00:00:00;;;;
716000000291;RT716000000398;;FO716000000214;3;;2022-08-29 00:00:00;;;;
716000000292;RT716000000398;;FO716000000490;4;;2022-08-29 00:00:00;;;;
716000000293;RT716000000399;;FO716000000215;1;;2022-08-29 00:00:00;;;;
716000000294;RT716000000399;;FO716000000071;2;;2022-08-29 00:00:00;;;;
716000000295;RT716000000399;;FO716000000491;3;;2022-08-29 00:00:00;;;;
716000000296;RT716000000399;;FO716000000503;4;;2022-08-29 00:00:00;;;;
716000000297;RT716000000400;;FO716000000216;1;;2022-08-29 00:00:00;;;;
716000000298;RT716000000400;;FO716000000492;2;;2022-08-29 00:00:00;;;;
716000000299;RT716000000400;;FO716000000072;3;;2022-08-29 00:00:00;;;;
716000000300;RT716000000400;;FO716000000504;4;;2022-08-29 00:00:00;;;;
716000000301;RT716000000401;;FO716000000073;1;;2022-08-29 00:00:00;;;;
716000000302;RT716000000401;;FO716000000217;2;;2022-08-29 00:00:00;;;;
716000000303;RT716000000401;;FO716000000505;3;;2022-08-29 00:00:00;;;;
716000000304;RT716000000402;;FO716000000074;1;;2022-08-29 00:00:00;;;;
716000000305;RT716000000402;;FO716000000218;2;;2022-08-29 00:00:00;;;;
716000000306;RT716000000402;;FO716000000506;3;;2022-08-29 00:00:00;;;;
716000000307;RT716000000403;;FO716000000219;1;;2022-08-29 00:00:00;;;;
716000000308;RT716000000403;;FO716000000075;2;;2022-08-29 00:00:00;;;;
716000000309;RT716000000403;;FO716000000507;3;;2022-08-29 00:00:00;;;;
716000000310;RT716000000404;;FO716000000508;1;;2022-08-29 00:00:00;;;;
716000000311;RT716000000404;;FO716000000076;2;;2022-08-29 00:00:00;;;;
716000000312;RT716000000404;;FO716000000220;3;;2022-08-29 00:00:00;;;;
716000000313;RT716000000405;;FO716000000077;1;;2022-08-29 00:00:00;;;;
716000000314;RT716000000405;;FO716000000221;2;;2022-08-29 00:00:00;;;;
716000000315;RT716000000405;;FO716000000509;3;;2022-08-29 00:00:00;;;;
716000000316;RT716000000406;;FO716000000222;1;;2022-08-29 00:00:00;;;;
716000000317;RT716000000406;;FO716000000510;2;;2022-08-29 00:00:00;;;;
716000000318;RT716000000406;;FO716000000078;3;;2022-08-29 00:00:00;;;;
716000000319;RT716000000407;;FO716000000223;1;;2022-08-29 00:00:00;;;;
716000000320;RT716000000407;;FO716000000079;2;;2022-08-29 00:00:00;;;;
716000000321;RT716000000407;;FO716000000523;3;;2022-08-29 00:00:00;;;;
716000000322;RT716000000407;;FO716000000511;4;;2022-08-29 00:00:00;;;;
716000000323;RT716000000408;;FO716000000512;1;;2022-08-29 00:00:00;;;;
716000000324;RT716000000408;;FO716000000524;2;;2022-08-29 00:00:00;;;;
716000000325;RT716000000408;;FO716000000080;3;;2022-08-29 00:00:00;;;;
716000000326;RT716000000408;;FO716000000224;4;;2022-08-29 00:00:00;;;;
716000000327;RT716000000409;;FO716000000525;1;;2022-08-29 00:00:00;;;;
716000000328;RT716000000409;;FO716000000513;2;;2022-08-29 00:00:00;;;;
716000000329;RT716000000409;;FO716000000081;3;;2022-08-29 00:00:00;;;;
716000000330;RT716000000409;;FO716000000225;4;;2022-08-29 00:00:00;;;;
716000000331;RT716000000410;;FO716000000082;1;;2022-08-29 00:00:00;;;;
716000000332;RT716000000410;;FO716000000514;2;;2022-08-29 00:00:00;;;;
716000000333;RT716000000410;;FO716000000226;3;;2022-08-29 00:00:00;;;;
716000000334;RT716000000410;;FO716000000526;4;;2022-08-29 00:00:00;;;;
716000000335;RT716000000411;;FO716000000515;1;;2022-08-29 00:00:00;;;;
716000000336;RT716000000411;;FO716000000527;2;;2022-08-29 00:00:00;;;;
716000000337;RT716000000411;;FO716000000083;3;;2022-08-29 00:00:00;;;;
716000000338;RT716000000411;;FO716000000227;4;;2022-08-29 00:00:00;;;;
716000000339;RT716000000412;;FO716000000516;1;;2022-08-29 00:00:00;;;;
716000000340;RT716000000412;;FO716000000084;2;;2022-08-29 00:00:00;;;;
716000000341;RT716000000412;;FO716000000528;3;;2022-08-29 00:00:00;;;;
716000000342;RT716000000412;;FO716000000228;4;;2022-08-29 00:00:00;;;;
716000000343;RT716000000413;;FO716000000529;1;;2022-08-29 00:00:00;;;;
716000000344;RT716000000413;;FO716000000085;2;;2022-08-29 00:00:00;;;;
716000000345;RT716000000414;;FO716000000086;1;;2022-08-29 00:00:00;;;;
716000000346;RT716000000414;;FO716000000530;2;;2022-08-29 00:00:00;;;;
