dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
CD716000000112;CM716000000056;29/08/2022 00:00;;;;
CD716000000113;CM716000000057;29/08/2022 00:00;;;;
CD716000000114;CM716000000058;29/08/2022 00:00;;;;
CD716000000115;CM716000000059;29/08/2022 00:00;;;;
CD716000000116;CM716000000060;29/08/2022 00:00;;;;
CD716000000117;CM716000000061;29/08/2022 00:00;;;;
CD716000000118;CM716000000062;29/08/2022 00:00;;;;
CD716000000119;CM716000000063;29/08/2022 00:00;;;;
CD716000000120;CM716000000064;29/08/2022 00:00;;;;
CD716000000121;CM716000000065;29/08/2022 00:00;;;;
CD716000000122;CM716000000066;29/08/2022 00:00;;;;
CD716000000123;CM716000000067;29/08/2022 00:00;;;;
CD716000000124;CM716000000068;29/08/2022 00:00;;;;
CD716000000125;CM716000000069;29/08/2022 00:00;;;;
CD716000000126;CM716000000070;29/08/2022 00:00;;;;
CD716000000127;CM716000000071;29/08/2022 00:00;;;;
CD716000000128;CM716000000072;29/08/2022 00:00;;;;
CD716000000129;CM716000000073;29/08/2022 00:00;;;;
CD716000000130;CM716000000074;29/08/2022 00:00;;;;
CD716000000131;CM716000000075;29/08/2022 00:00;;;;
CD716000000132;CM716000000076;29/08/2022 00:00;;;;
CD716000000133;CM716000000077;29/08/2022 00:00;;;;
CD716000000134;CM716000000078;29/08/2022 00:00;;;;
CD716000000135;CM716000000079;29/08/2022 00:00;;;;
CD716000000136;CM716000000080;29/08/2022 00:00;;;;
CD716000000137;CM716000000081;29/08/2022 00:00;;;;
CD716000000138;CM716000000082;29/08/2022 00:00;;;;
CD716000000139;CM716000000083;29/08/2022 00:00;;;;
CD716000000140;CM716000000084;29/08/2022 00:00;;;;
CD716000000141;CM716000000085;29/08/2022 00:00;;;;
CD716000000142;CM716000000086;29/08/2022 00:00;;;;
CD716000000143;CM716000000087;29/08/2022 00:00;;;;
CD716000000144;CM716000000088;29/08/2022 00:00;;;;
CD716000000145;CM716000000089;29/08/2022 00:00;;;;
CD716000000146;CM716000000090;29/08/2022 00:00;;;;
CD716000000147;CM716000000091;29/08/2022 00:00;;;;
CD716000000148;CM716000000092;29/08/2022 00:00;;;;
CD716000000149;CM716000000093;29/08/2022 00:00;;;;
CD716000000150;CM716000000094;29/08/2022 00:00;;;;
CD716000000151;CM716000000095;29/08/2022 00:00;;;;
CD716000000152;CM716000000096;29/08/2022 00:00;;;;
CD716000000153;CM716000000097;29/08/2022 00:00;;;;
CD716000000154;CM716000000098;29/08/2022 00:00;;;;
CD716000000155;CM716000000099;29/08/2022 00:00;;;;
CD716000000156;CM716000000100;29/08/2022 00:00;;;;
CD716000000157;CM716000000101;29/08/2022 00:00;;;;
CD716000000158;CM716000000102;29/08/2022 00:00;;;;
CD716000000159;CM716000000103;29/08/2022 00:00;;;;
CD716000000160;CM716000000104;29/08/2022 00:00;;;;
CD716000000161;CM716000000105;29/08/2022 00:00;;;;
CD716000000162;CM716000000106;29/08/2022 00:00;;;;
CD716000000163;CM716000000107;29/08/2022 00:00;;;;
CD716000000164;CM716000000108;29/08/2022 00:00;;;;
CD716000000165;CM716000000109;29/08/2022 00:00;;;;
CD716000000166;CM716000000110;29/08/2022 00:00;;;;
CD716000000167;CM716000000111;29/08/2022 00:00;;;;
CD716000000168;CM716000000112;29/08/2022 00:00;;;;
CD716000000169;CM716000000113;29/08/2022 00:00;;;;
CD716000000170;CM716000000114;29/08/2022 00:00;;;;
CD716000000171;CM716000000115;29/08/2022 00:00;;;;
CD716000000172;CM716000000116;29/08/2022 00:00;;;;
CD716000000173;CM716000000117;29/08/2022 00:00;;;;
CD716000000174;CM716000000118;29/08/2022 00:00;;;;
CD716000000175;CM716000000119;29/08/2022 00:00;;;;
CD716000000176;CM716000000120;29/08/2022 00:00;;;;
CD716000000177;CM716000000121;29/08/2022 00:00;;;;
CD716000000178;CM716000000122;29/08/2022 00:00;;;;
CD716000000179;CM716000000123;29/08/2022 00:00;;;;
CD716000000180;CM716000000124;29/08/2022 00:00;;;;
CD716000000182;CM716000000126;29/08/2022 00:00;;;;
CD716000000183;CM716000000127;29/08/2022 00:00;;;;
CD716000000184;CM716000000128;29/08/2022 00:00;;;;
CD716000000185;CM716000000129;29/08/2022 00:00;;;;
CD716000000186;CM716000000130;29/08/2022 00:00;;;;
CD716000000187;CM716000000131;29/08/2022 00:00;;;;
CD716000000188;CM716000000132;29/08/2022 00:00;;;;
CD716000000189;CM716000000133;29/08/2022 00:00;;;;
CD716000000190;CM716000000134;29/08/2022 00:00;;;;
CD716000000191;CM716000000135;29/08/2022 00:00;;;;
CD716000000192;CM716000000136;29/08/2022 00:00;;;;
CD716000000193;CM716000000137;29/08/2022 00:00;;;;
CD716000000194;CM716000000138;29/08/2022 00:00;;;;
CD716000000195;CM716000000139;29/08/2022 00:00;;;;
CD716000000196;CM716000000140;29/08/2022 00:00;;;;
CD716000000197;CM716000000141;29/08/2022 00:00;;;;
CD716000000198;CM716000000142;29/08/2022 00:00;;;;
CD716000000199;CM716000000143;29/08/2022 00:00;;;;
CD716000000200;CM716000000144;29/08/2022 00:00;;;;
CD716000000201;CM716000000145;29/08/2022 00:00;;;;
CD716000000202;CM716000000146;29/08/2022 00:00;;;;
CD716000000203;CM716000000147;29/08/2022 00:00;;;;
CD716000000204;CM716000000148;29/08/2022 00:00;;;;
CD716000000205;CM716000000149;29/08/2022 00:00;;;;
CD716000000206;CM716000000150;29/08/2022 00:00;;;;
CD716000000207;CM716000000151;29/08/2022 00:00;;;;
CD716000000208;CM716000000152;29/08/2022 00:00;;;;
CD716000000209;CM716000000153;29/08/2022 00:00;;;;
CD716000000210;CM716000000154;29/08/2022 00:00;;;;
CD716000000211;CM716000000155;29/08/2022 00:00;;;;
CD716000000212;CM716000000156;29/08/2022 00:00;;;;
CD716000000213;CM716000000157;29/08/2022 00:00;;;;
CD716000000214;CM716000000158;29/08/2022 00:00;;;;
CD716000000215;CM716000000159;29/08/2022 00:00;;;;
CD716000000216;CM716000000160;29/08/2022 00:00;;;;
CD716000000217;CM716000000161;29/08/2022 00:00;;;;
CD716000000218;CM716000000162;29/08/2022 00:00;;;;
CD716000000219;CM716000000163;29/08/2022 00:00;;;;
CD716000000220;CM716000000164;29/08/2022 00:00;;;;
CD716000000221;CM716000000165;29/08/2022 00:00;;;;
CD716000000222;CM716000000166;29/08/2022 00:00;;;;
CD716000000223;CM716000000167;29/08/2022 00:00;;;;
CD716000000224;CM716000000168;29/08/2022 00:00;;;;
CD716000000225;CM716000000169;29/08/2022 00:00;;;;
CD716000000226;CM716000000170;29/08/2022 00:00;;;;
CD716000000227;CM716000000171;29/08/2022 00:00;;;;
CD716000000228;CM716000000172;29/08/2022 00:00;;;;
CD716000000229;CM716000000173;29/08/2022 00:00;;;;
CD716000000230;CM716000000174;29/08/2022 00:00;;;;
CD716000000231;CM716000000175;29/08/2022 00:00;;;;
CD716000000232;CM716000000176;29/08/2022 00:00;;;;
CD716000000233;CM716000000177;29/08/2022 00:00;;;;
CD716000000234;CM716000000178;29/08/2022 00:00;;;;
CD716000000235;CM716000000179;29/08/2022 00:00;;;;
CD716000000236;CM716000000180;29/08/2022 00:00;;;;
CD716000000237;CM716000000181;29/08/2022 00:00;;;;
CD716000000238;CM716000000181;29/08/2022 00:00;;;;
CD716000000239;CM716000000181;29/08/2022 00:00;;;;
CD716000000240;CM716000000181;29/08/2022 00:00;;;;
CD716000000241;CM716000000181;29/08/2022 00:00;;;;
CD716000000242;CM716000000181;29/08/2022 00:00;;;;
CD716000000243;CM716000000181;29/08/2022 00:00;;;;
CD716000000244;CM716000000182;29/08/2022 00:00;;;;
CD716000000245;CM716000000183;29/08/2022 00:00;;;;
CD716000000246;CM716000000183;29/08/2022 00:00;;;;
CD716000000247;CM716000000183;29/08/2022 00:00;;;;
CD716000000248;CM716000000183;29/08/2022 00:00;;;;
CD716000000249;CM716000000183;29/08/2022 00:00;;;;
CD716000000250;CM716000000183;29/08/2022 00:00;;;;
CD716000000251;CM716000000183;29/08/2022 00:00;;;;
CD716000000252;CM716000000183;29/08/2022 00:00;;;;
CD716000000253;CM716000000183;29/08/2022 00:00;;;;
CD716000000254;CM716000000184;29/08/2022 00:00;;;;
CD716000000255;CM716000000185;29/08/2022 00:00;;;;
CD716000000256;CM716000000186;29/08/2022 00:00;;;;
CD716000000257;CM716000000187;29/08/2022 00:00;;;;
CD716000000258;CM716000000188;29/08/2022 00:00;;;;
CD716000000259;CM716000000189;29/08/2022 00:00;;;;
CD716000000260;CM716000000190;29/08/2022 00:00;;;;
CD716000000261;CM716000000191;29/08/2022 00:00;;;;
CD716000000262;CM716000000192;29/08/2022 00:00;;;;
CD716000000263;CM716000000193;29/08/2022 00:00;;;;
CD716000000264;CM716000000194;29/08/2022 00:00;;;;
CD716000000265;CM716000000195;29/08/2022 00:00;;;;
CD716000000266;CM716000000196;29/08/2022 00:00;;;;
CD716000000267;CM716000000197;29/08/2022 00:00;;;;
CD716000000268;CM716000000198;29/08/2022 00:00;;;;
CD716000000269;CM716000000199;29/08/2022 00:00;;;;
CD716000000270;CM716000000200;29/08/2022 00:00;;;;
CD716000000271;CM716000000201;29/08/2022 00:00;;;;
CD716000000272;CM716000000202;29/08/2022 00:00;;;;
CD716000000273;CM716000000203;29/08/2022 00:00;;;;
CD716000000274;CM716000000204;29/08/2022 00:00;;;;
CD716000000275;CM716000000204;29/08/2022 00:00;;;;
CD716000000276;CM716000000205;29/08/2022 00:00;;;;
CD716000000277;CM716000000205;29/08/2022 00:00;;;;
CD716000000278;CM716000000205;29/08/2022 00:00;;;;
CD716000000279;CM716000000206;29/08/2022 00:00;;;;
CD716000000280;CM716000000206;29/08/2022 00:00;;;;
CD716000000281;CM716000000206;29/08/2022 00:00;;;;
CD716000000282;CM716000000206;29/08/2022 00:00;;;;
CD716000000283;CM716000000206;29/08/2022 00:00;;;;
CD716000000284;CM716000000207;29/08/2022 00:00;;;;
CD716000000285;CM716000000207;29/08/2022 00:00;;;;
CD716000000286;CM716000000207;29/08/2022 00:00;;;;
CD716000000287;CM716000000207;29/08/2022 00:00;;;;
CD716000000288;CM716000000207;29/08/2022 00:00;;;;
CD716000000289;CM716000000207;29/08/2022 00:00;;;;
CD716000000290;CM716000000207;29/08/2022 00:00;;;;
CD716000000291;CM716000000207;29/08/2022 00:00;;;;
CD716000000292;CM716000000207;29/08/2022 00:00;;;;
CD716000000293;CM716000000207;29/08/2022 00:00;;;;
CD716000000294;CM716000000208;29/08/2022 00:00;;;;
CD716000000295;CM716000000208;29/08/2022 00:00;;;;
CD716000000296;CM716000000208;29/08/2022 00:00;;;;
CD716000000297;CM716000000208;29/08/2022 00:00;;;;
CD716000000298;CM716000000208;29/08/2022 00:00;;;;
CD716000000299;CM716000000208;29/08/2022 00:00;;;;
CD716000000300;CM716000000208;29/08/2022 00:00;;;;
CD716000000301;CM716000000209;29/08/2022 00:00;;;;
CD716000000302;CM716000000210;29/08/2022 00:00;;;;
CD716000000303;CM716000000211;29/08/2022 00:00;;;;
CD716000000304;CM716000000212;29/08/2022 00:00;;;;
CD716000000305;CM716000000213;29/08/2022 00:00;;;;
CD716000000306;CM716000000214;29/08/2022 00:00;;;;
CD716000000307;CM716000000215;29/08/2022 00:00;;;;
CD716000000308;CM716000000216;29/08/2022 00:00;;;;
CD716000000309;CM716000000216;29/08/2022 00:00;;;;
CD716000000310;CM716000000217;29/08/2022 00:00;;;;
CD716000000311;CM716000000217;29/08/2022 00:00;;;;
CD716000000312;CM716000000218;29/08/2022 00:00;;;;
CD716000000313;CM716000000219;29/08/2022 00:00;;;;
CD716000000314;CM716000000220;29/08/2022 00:00;;;;
CD716000000315;CM716000000221;29/08/2022 00:00;;;;
CD716000000316;CM716000000221;29/08/2022 00:00;;;;
CD716000000317;CM716000000222;29/08/2022 00:00;;;;
CD716000000318;CM716000000223;29/08/2022 00:00;;;;
CD716000000319;CM716000000224;29/08/2022 00:00;;;;
CD716000000320;CM716000000225;29/08/2022 00:00;;;;
