ps_code;ps_numero;ps_1;ps_2;ps_cs_code;ps_ti_code;ps_type;ps_fonct;ps_etat;ps_preaff;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS716000000183;15;;FO716000000717;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000184;16;;FO716000000718;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000185;17;;FO716000000719;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000186;18;;FO716000000720;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000187;19;;FO716000000721;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000188;20;;FO716000000722;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000189;21;;FO716000000723;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000190;22;;FO716000000724;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000191;23;;FO716000000725;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000192;24;;FO716000000726;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000193;1;;FO716000000727;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000194;2;;FO716000000728;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000195;3;;FO716000000729;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000196;4;;FO716000000730;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000197;5;;FO716000000731;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000198;6;;FO716000000732;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000199;7;;FO716000000733;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000200;8;;FO716000000734;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000201;9;;FO716000000735;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000202;10;;FO716000000736;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000203;11;;FO716000000737;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000204;12;;FO716000000738;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000205;13;;FO716000000739;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000206;14;;FO716000000740;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000207;15;;FO716000000741;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000208;16;;FO716000000742;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000209;17;;FO716000000743;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000210;18;;FO716000000744;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000211;19;;FO716000000745;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000212;20;;FO716000000746;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000213;21;;FO716000000747;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000214;22;;FO716000000748;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000215;23;;FO716000000749;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000216;24;;FO716000000750;CS716000000020;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000217;1;;FO716000000751;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000218;2;;FO716000000752;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000219;3;;FO716000000753;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000220;4;;FO716000000754;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000221;5;;FO716000000755;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000222;6;;FO716000000756;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000223;7;;FO716000000757;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000224;8;;FO716000000758;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000225;9;;FO716000000759;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000226;10;;FO716000000760;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000227;11;;FO716000000761;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000228;12;;FO716000000762;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000229;13;;FO716000000763;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000230;14;;FO716000000764;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000231;15;;FO716000000765;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000232;16;;FO716000000766;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000233;17;;FO716000000767;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000234;18;;FO716000000768;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000235;19;;FO716000000769;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000236;20;;FO716000000770;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000237;21;;FO716000000771;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000238;22;;FO716000000772;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000239;23;;FO716000000773;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000240;24;;FO716000000774;CS716000000021;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000241;1;;FO716000000775;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000242;2;;FO716000000776;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000243;3;;FO716000000777;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000244;4;;FO716000000778;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000245;5;;FO716000000779;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000246;6;;FO716000000780;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000247;7;;FO716000001213;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000248;8;;FO716000001214;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000249;9;;FO716000001215;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000250;10;;FO716000001216;CS716000000022;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
