cd_code;cd_codeext;cd_etiquet;cd_cd_code;cd_r1_code;cd_r2_code;cd_r3_code;cd_r4_code;cd_prop;cd_gest;cd_user;cd_proptyp;cd_statut;cd_etat;cd_dateaig;cd_dateman;cd_datemes;cd_avct;cd_type;cd_dia_int;cd_dia_ext;cd_color;cd_long;cd_nbcable;cd_occup;cd_comment;cd_creadat;cd_majdate;cd_majsrc;cd_abddate;cd_abdsrc
CD716000000059;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000060;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000061;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000062;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000063;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000064;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000065;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000066;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000067;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000068;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000069;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000070;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000071;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000072;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000073;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000074;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000075;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000076;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000077;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000078;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000079;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000080;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000081;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000082;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000083;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000084;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000085;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000086;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000087;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000088;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000089;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000090;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000091;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000092;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000093;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000094;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000095;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000096;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000097;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000098;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000099;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000100;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000101;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000102;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000103;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000104;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000105;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000106;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000107;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000108;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000109;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000110;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000111;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000112;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000113;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000114;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000115;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000116;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000117;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000118;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000119;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000120;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000121;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000122;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000123;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000124;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000125;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000126;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000127;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000128;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000129;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000130;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000131;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000132;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000133;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000134;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000135;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000136;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000137;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000138;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000139;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000140;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000141;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000142;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000143;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000144;;;;;;;;OR710000000571;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000145;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000146;;;;;;;;OR710000000571;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000147;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000148;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000149;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000150;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000151;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000152;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000153;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000154;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000155;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000156;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000157;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000158;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000159;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000160;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000161;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000162;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000163;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000164;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000165;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000166;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000167;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000168;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000169;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000170;;;;;;;;OR710000000571;OR000000000005;;;REC;;;;;C;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000171;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000172;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000173;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000175;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000176;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000177;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000178;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000179;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000180;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000182;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000183;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000184;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000185;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000186;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000187;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000188;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000189;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000190;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000191;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000192;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000193;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000194;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000195;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000196;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000197;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000198;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000199;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000200;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000201;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000202;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000203;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000204;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000205;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000206;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000207;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000208;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000209;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000210;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000211;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000212;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000213;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000214;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000215;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000216;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000217;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000218;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000219;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000220;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000221;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000222;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000223;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000224;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000225;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000226;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000227;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000228;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000229;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000230;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000231;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000232;;;;;;;;OR000000000002;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000233;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000234;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000235;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000236;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000237;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000238;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000239;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000240;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000241;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000242;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000243;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000244;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000245;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000246;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000247;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000248;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000249;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000250;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000251;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000252;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000253;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000254;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000255;;;;;;;;OR710000000571;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000256;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000257;;;;;;;;OR710000000571;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000258;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000259;;;;;;;;OR710000000571;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000260;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000261;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000298;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000299;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000300;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000301;;;;;;;;OR710000000571;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
