lv_id;lv_cb_code;lv_nd_code;lv_long;lv_creadat;lv_majdate;lv_majsrc;lv_abddate;lv_abdsrc
159;CB716000000083;ND716000000086;5;28/07/2023 00:00;;;;
160;CB716000000083;ND716000000066;5;28/07/2023 00:00;;;;
161;CB716000000084;ND716000000066;5;28/07/2023 00:00;;;;
162;CB716000000084;ND716000000195;5;28/07/2023 00:00;;;;
163;CB716000000085;ND716000000035;15;28/07/2023 00:00;;;;
164;CB716000000085;ND716000000171;5;28/07/2023 00:00;;;;
165;CB716000000086;ND716000000035;15;28/07/2023 00:00;;;;
166;CB716000000086;ND716000000146;5;28/07/2023 00:00;;;;
167;CB716000000087;ND716000000146;5;28/07/2023 00:00;;;;
168;CB716000000087;ND716000000211;5;28/07/2023 00:00;;;;
169;CB716000000088;ND716000000035;15;28/07/2023 00:00;;;;
170;CB716000000088;ND716000000209;5;28/07/2023 00:00;;;;
171;CB716000000089;ND716000000008;15;28/07/2023 00:00;;;;
172;CB716000000089;ND716000000121;5;28/07/2023 00:00;;;;
173;CB716000000090;ND716000000121;5;28/07/2023 00:00;;;;
174;CB716000000090;ND716000000168;5;28/07/2023 00:00;;;;
175;CB716000000091;ND716000000168;5;28/07/2023 00:00;;;;
176;CB716000000091;ND716000000108;5;28/07/2023 00:00;;;;
177;CB716000000092;ND716000000008;15;28/07/2023 00:00;;;;
178;CB716000000092;ND716000000120;5;28/07/2023 00:00;;;;
179;CB716000000093;ND716000000008;15;28/07/2023 00:00;;;;
180;CB716000000093;ND716000000119;5;28/07/2023 00:00;;;;
181;CB716000000094;ND716000000008;15;28/07/2023 00:00;;;;
182;CB716000000094;ND716000000117;5;28/07/2023 00:00;;;;
183;CB716000000095;ND716000000008;15;28/07/2023 00:00;;;;
184;CB716000000095;ND716000000104;5;28/07/2023 00:00;;;;
185;CB716000000096;ND716000000002;15;28/07/2023 00:00;;;;
186;CB716000000097;ND716000000002;15;28/07/2023 00:00;;;;
187;CB716000000098;ND716000000002;15;28/07/2023 00:00;;;;
188;CB716000000098;ND716000000093;5;28/07/2023 00:00;;;;
189;CB716000000099;ND716000000093;5;28/07/2023 00:00;;;;
190;CB716000000099;ND716000000216;5;28/07/2023 00:00;;;;
191;CB716000000100;ND716000000093;5;28/07/2023 00:00;;;;
192;CB716000000100;ND716000000072;5;28/07/2023 00:00;;;;
193;CB716000000101;ND716000000072;5;28/07/2023 00:00;;;;
194;CB716000000101;ND716000000092;5;28/07/2023 00:00;;;;
195;CB716000000102;ND716000000092;5;28/07/2023 00:00;;;;
196;CB716000000102;ND716000000058;5;28/07/2023 00:00;;;;
197;CB716000000103;ND716000000058;5;28/07/2023 00:00;;;;
198;CB716000000103;ND716000000159;5;28/07/2023 00:00;;;;
199;CB716000000104;ND716000000159;5;28/07/2023 00:00;;;;
200;CB716000000104;ND716000000162;5;28/07/2023 00:00;;;;
201;CB716000000105;ND716000000002;15;28/07/2023 00:00;;;;
202;CB716000000105;ND716000000150;5;28/07/2023 00:00;;;;
