TABLE	code	libelle	definition
l_bp_racco	FIMP12	TRAITEMENT IMPOSSIBLE : TYPE COMMANDE ERRONNE	La valeur du champ TypeCommandeDemande n est pas une des valeurs attendues
l_bp_racco	FIMP13	TRAITEMENT IMPOSSIBLE : IDENTIFIANT COMMANDE INTERNE OC DEJA UTILISE	L OC envoie une commande en utilisant une commande interne déjà envoyée. Il s agit potentiellement d un doublon de commande
l_bp_racco	FIMP14	TRAITEMENT IMPOSSIBLE : IDENTIFIANT COMMANDE INTERNE OC INCONNUE	L OC annule ou résilie une commande en utilisant un identifiant inconnu de l OI
l_bp_racco	FIMP15	TRAITEMENT IMPOSSIBLE : CHAMPS OBLIGATOIRES MANQUANTS	L OC envoie une commande incomplète Bonne pratique : l opérateur emetteur du flux de rejet indique dans le champ commentaire du rejet le premier champ obligatoire manquant
l_bp_racco	FIMP16	TRAITEMENT IMPOSSIBLE : CHAMPS INCOHERENTS	L OC envoie la commande avec une erreur de format (exemple chaine de caractère envoyée vs date attendue, champ présent non attendu...) ... (cf Interop)
l_bp_racco	FIMP17	TRAITEMENT IMPOSSIBLE : PTO INEXISTANTE	Lorsqu une commande a été passée avec PTO posée, qu elle n exite pas dans le logement et que le problème n a pas pu être résolu par un reprovisionning à chaud.
l_bp_racco	FIMP18	TRAITEMENT IMPOSSIBLE : PTO EXISTANTE	Lorsqu une commande a été passée sans PTO (construction de ligne), qu il s avère qu elle existait le logement et que le problème n a pas pu être résolu par un reprovisionning à chaud. La référence de la PTO doit alors être indiquée... (cf Interop)
l_bp_racco	FIMP19	TRAITEMENT IMPOSSIBLE : PTO DEJA AFFECTEE A L OC	Lorsque d un OC détient déjà une ligne FTTH sur une PTO et repasse une commande d accès sur cette même PTO. L OI répond alors, s il refues ce cas de gestion, par un CR de commande KO, avec le motif PTO déjà affectée à l OC
l_bp_racco	FINT01	ECHEC PRODUCTION : PB OU PM SATURE	L OI signifie à l OC qu il n est pas en mesure de fournir une route optique parce que vu de son SI le PB ou le PM est saturé
l_bp_racco	FINT02	ECHEC PRODUCTION : SATURATION VIRTUELLE PB OU PM	L OI signifie à l OC qu il n est pas en mesure de fournir une route optique en raison d une saturation virtuelle identifiée mais non traitée simultanément. ... (cf Interop)
l_bp_racco	FINT03	ECHEC PRODUCTION : HOTLINE OI INJOIGNABLE	L OC n a pas réussi à joindre la hotline sur le terrain et envoi un code rejet à l OI pour passer en reprovisionning à froid.
l_bp_racco	FINT04	ECHEC PRODUCTION : ABSENCE DE CONTINUITE OPTIQUE	L OC constate sur le terrain qu il n y a pas de continuité sur la fibre et n a pas pu obtenir une nouvelle route optique via la hotline
l_bp_racco	FINT05	ECHEC PRODUCTION : AFFAIBLISSEMENT TROP IMPORTANT	L OC constate sur le terrain que l affaiblissement sur la fibre est hors norme et n a pas pu obtenir correction via la hotline
l_bp_racco	FINT06	ECHEC PRODUCTION : ROUTE OPTIQUE DEJA UTILISEE	L OC constate sur le terrain que la route qui lui a été transmise est déjà soudée pour un autre raccordement et n a pas pu obtenir une route optique appropriée via la hotline
l_bp_racco	FINT07	ECHEC PRODUCTION : INFORMATIONS ROUTE OPTIQUE ERRONEES	L OC constate sur le terrain que la route optique donnée n existe pas et n a pas pu obtenir une route optique appropriée
l_bp_racco	FINT08	ECHEC PRODUCTION : POSITION BRASSAGE BAIE OPERATEUR INTROUVABLE	Dans le cas d un brassage par l OI, l OI signale à l OC une position de brassage introuvable
l_bp_racco	FINT09	ECHEC PRODUCTION : POSITION BRASSAGE BAIE OPERATEUR DEJA UTILISEE	Dans le cas d un brassage par l OI, l OI signale à l OC une position de brassage déjà utilisée
l_bp_racco	FINT10	ECHEC PRODUCTION : AUTRE PROBLEME TECHNIQUE	Autre problème technique constaté lors de l intervention de raccordement et n étant pas référencé dans les motifs de rejets
l_bp_racco	FINT11	ECHEC PRODUCTION : INFRA TIERS INDISPONIBLE OU DELAI	Dans le cas d un raccordement necessitant l utilisation d infrastructure tiers (poteau, fourreau), ces infra ne sont pas utilisable (bouchée, cassée, …) ou le délais de mise à disposition de ces infra est très important
l_bp_racco	FINT12	ECHEC PRODUCTION : PBO NON CONFORME	Dans le cas où le raccordement est impossible en raison d un problème lié au PBO (exemple : PBO mal fixé, fibre trop courte pour souder..)
l_bp_racco	FINT13	ECHEC PRODUCTION : DEFAUT DE VERTICALITE	Dans le cas d un problème physique identifié sur la colonne montante (exemple colonne HS, vandalisme…). Ce code permet de qualifier les problèmes collectifs c est-à-dire pouvant impacter plusieurs fibres.
l_bp_racco	FAUT01	AUTRE MOTIF : COMMENTAIRES LIBRES	Autre motif technique hors constatation de problème sur le terrain
l_bp_racco	FRDV01	RDV : NOMBRE MAX DE MODIFICATIONS DE RDV DEPASSE	Dans le cas d un raccordment par l OI et d une demande de RDV manuelle, l OC a dépassé le nombre maximum de modifications de RDV autorisé contractuellement par l OI... (cf Interop)
l_bp_racco	FRDV02	RDV : PAS DE PLAGES DE RDV DISPONIBLES SUR CES CRENEAUX	Dans le cas d un raccordement par OI, et d une demande de RDV manuelle, l OC indique des créneaux à l aveugle à l OI. Ce rejet indique que les créneaux proposés par l OC ne sont pas disponibles dans le plan de charge de l OI.... (cf Interop)
l_bp_racco	FRDV03	RDV : PLAGE DE RDV NON RESERVEE	Dans le cas d un raccordement par l OI, l OC a dépassé le délai pour passer sa commande. La réservation du RDV n a donc pas été confirmée par l OI
l_bp_racco	FRDV04	RDV : ETAT RDV NON VALIDE	Dans le cas où la commande est passée avec un rdv dont l’état n’est pas valide, par exemple annulé, terminé, …
l_bp_racco	FRDV05	RDV : RDV SUR PRODUIT NON FTTH	Dans le cas où la commande est passée avec un rdv qui a été pris sur un produit autre que le produit accès FTTH
l_bp_racco	FRDV06	RDV : RDV SUR ADRESSE DIFFERENTE	Dans le cas où la commande est passée avec un rdv qui a été pris sur une autre adresse que celle de la commande (exemple n° ou nom de rue différents de l adresse de la commande)
l_bp_type_log	BPE	BOITIER PROTECTION EPISSURE	
l_bp_type_log	PTO	POINT DE TERMINAISON OPTIQUE	
l_bp_type_log	PBO	POINT DE BRANCHEMENT OPTIQUE	
l_bp_type_log	DTI	DISPOSITIF DE TERMINAISON INTERIEUR OPTIQUE	PTO pose par le constructeur d immeuble.
l_bp_type_phy	B006	BPE 6FO	
l_bp_type_phy	B012	BPE 12FO	
l_bp_type_phy	B024	BPE 24FO	
l_bp_type_phy	B036	BPE 36FO	
l_bp_type_phy	B048	BPE 48FO	
l_bp_type_phy	B072	BPE 72FO	
l_bp_type_phy	B096	BPE 96FO	
l_bp_type_phy	B144	BPE 144FO	
l_bp_type_phy	B288	BPE 288FO	
l_bp_type_phy	B432	BPE 432FO	
l_bp_type_phy	B576	BPE 576FO	
l_bp_type_phy	B720	BPE 720FO	
l_bp_type_phy	COF	COFFRET	
l_bp_type_phy	DTI1	DTIO 1FO	
l_bp_type_phy	DTI2	DTIO 2FO	
l_bp_type_phy	DTI4	DTIO 4FO	
l_bp_type_phy	AUTR	AUTRE	
l_cable_type	C	CABLE	
l_cable_type	B	BREAKOUT	
l_cable_type	J	JARRETIERE	
l_cassette_type	P	PLATEAU DE LOVAGE BPE	
l_cassette_type	E	EPISSURE	
l_cassette_type	S	SPLITTER	
l_cassette_type	C	CONNECTEUR	
l_clim_type	SANS	SANS	
l_clim_type	VENTIL	VENTILLATION	
l_clim_type	CLIM	CLIMATISATION	
l_conduite_type	PEHD	PEHD	
l_conduite_type	PVC	PVC	
l_conduite_type	TPC	TPC	
l_conduite_type	CUC	CONDUITE UNITAIRE CIMENT	
l_conduite_type	CAN	ALVEOLE DE CANIVEAU	Possibilite de realiser des masques pour les caniveaux.
l_conduite_type	GOU	ALVEOLE DE GOULOTTE	Possibilite de realiser des masques pour les goulottes avec multiples alveoles.
l_conduite_type	AER	CONDUITE AERIENNE VIRTUELLE	Utilise pour creer la relation entre le cable et le cheminement dans le cas de cheminement aerien.
l_conduite_type	AUTRE	AUTRE	
l_conduite_type	NC	NON COMMUNIQUE	
l_doc_tab	CB	CABLE	
l_doc_tab	CD	CONDUITE	
l_doc_tab	BP	ELEMENT BRANCHEMENT PASSIF	
l_doc_tab	MQ	MASQUE	
l_doc_tab	ND	NOEUD	
l_doc_tab	PT	POINT TECHNIQUE	
l_doc_tab	ST	SITE TECHNIQUE	
l_doc_tab	SF	SITE UTILISATEUR FINAL	
l_doc_tab	LT	LOCAL TECHNIQUE	
l_doc_tab	AD	ADRESSE	
l_doc_tab	BA	BAIE	
l_doc_tab	CS	CASSETTE	
l_doc_tab	EQ	EQUIPEMENT	
l_doc_tab	TI	TIROIR	
l_doc_tab	OR	ORGANISME	
l_doc_tab	ZN	ZONE DE NRO	
l_doc_tab	ZD	ZONE DE DEPLOIEMENT	
l_doc_tab	ZS	ZONE DE SRO	
l_doc_tab	RF	REFERENCE	
l_doc_tab	RT	ROUTE OPTIQUE	
l_doc_tab	CM	CHEMINEMENT	
l_doc_tab	FO	FIBRE	
l_doc_tab	PS	POSITION	
l_doc_tab	SE	SITE EMISSION	
l_doc_tab	LV	LOVE	
l_doc_tab	ZP	ZONE ARRIERE DE PBO	
l_doc_tab	ZC	ZONE COAX	
l_doc_type	DIG	DOSSIER D INGENIERIE : REGLES D INGENIERIE UTILISEES	
l_doc_type	ETU	RAPPORT D ETUDE	
l_doc_type	PSI	PLAN DE SITUATION, SYNOPTIQUE GEOGRAPHIQUE	
l_doc_type	PPH	PLAN DE PHASAGE	
l_doc_type	PCB	PLAN DE CABLAGE	
l_doc_type	PMQ	PLAN DE MASQUE OU FICHE FOA	
l_doc_type	DPO	DOSSIER APPUIS AERIENS	
l_doc_type	FOT	PHOTO	
l_doc_type	PGC	PLAN DE GENIE CIVIL	
l_doc_type	DLV	DOSSIER DE LEVE OU D INVESTIGATIONS COMPLEMENTAIRES	
l_doc_type	SGC	DETAIL OU SCHEMA DE GENIE CIVIL	
l_doc_type	DPI	DOSSIER DE PIQUETAGE	
l_doc_type	DBL	DOSSIER DE RELEVE BOITES AUX LETTRES	
l_doc_type	KRV	REGLEMENT DE VOIRIE	
l_doc_type	CPV	PERMISSION OU AUTORISATION DE VOIRIE	
l_doc_type	DTT	DT EMISES DANS LE CADRE DU PROJET DE DEPLOIEMENT	
l_doc_type	DIT	DICT EMISES DANS LE CADRE DU PROJET DE DEPLOIEMENT	
l_doc_type	DAM	DIAGNOSTIC AMIANTE ENROBE	
l_doc_type	CIN	CONTRAT OU CONVENTION DE LOCATION/CESSION/ACHAT/OCCUPATION D INFRASTRUCTURE	
l_doc_type	CMU	CONTRAT OU CONVENTION DE CO-CONSTRUCTION OU MUTUALISATION DE TRAVAUX	
l_doc_type	DIP	DOSSIER D IMPLANTATION (SRO, NRO, BPI…)	
l_doc_type	SOP	SYNOPTIQUE OPTIQUE	
l_doc_type	SBP	PLAN DE BOITE, OU AUTRE ELEMENT DE BRANCHEMENT PASSIF	
l_doc_type	SRA	SCHEMA DE RACCORDEMENT (BAIE, ARMOIRE, REPARTITEUR…)	
l_doc_type	KEQ	DOCUMENTATION TECHNIQUE D EQUIPEMENT	
l_doc_type	CIM	CONVENTION THD IMMEUBLE	
l_doc_type	CIS	CONVENTION CADRE BAILLEUR SOCIAL	
l_doc_type	CDS	REGLEMENT DE SERVICE	
l_doc_type	COC	AUTRE CONVENTION D OCCUPATION EMPRISE PRIVEE	
l_doc_type	MRF	MESURE DE REFLECTOMETRIE	
l_doc_type	MFX	TEST D ETANCHEITE DE FOURREAUX ET/OU TESTS DE MANDRINAGE, AIGUILLAGE	
l_doc_type	RGC	PV DE RECEPTION GENIE CIVIL	
l_doc_type	DIF	DOSSIER INFRASTRUCTURE D ACCUEIL	
l_doc_type	DCB	DOSSIER DE CABLAGE	
l_doc_type	DOP	DOSSIER OPTIQUE	
l_doc_type	DPR	DOSSIER DE PROJET	
l_doc_type	DLG	DOSSIER DE LIVRABLES GRACETHD	
l_doc_type	DCI	DOSSIER DE COMMANDE POUR LOCATION/OCCUPATION D INFRASTRUCTURE	
l_doc_type	DCS	DOSSIER DE CREATION DE SITE	
l_doc_type	DRS	DOSSIER DE RACCORDEMENT DE SITE	
l_doc_type	KPL	PLAN LOCAL D URBANISME	
l_doc_type	RFR	FICHE DE RECETTE	
l_doc_type	RVR	PV DE RECEPTION DE VOIRIE	
l_doc_type	DTA	DIAGNOSTIC TECHNIQUE AMIANTE POUR UN IMMEUBLE	
l_etat_type	HS	A CHANGER	L infrastructure doit etre changee car la moindre intervention peut etre prejudiciable a la fourniture du service
l_etat_type	ME	MAUVAIS ETAT	Mauvais etat general de l infrastructure qui ne permet pas certaines interventions
l_etat_type	OK	BON ETAT	Bon etat general qui permet de realiser toute operation de maintenance, d exploitation ou d evolution
l_etat_type	NC	NON CONCERNE	
l_fo_color	1	ROUGE (R)	#FF0000 - Standard Orange
l_fo_color	2	BLEU (BL)	#0070C0 - Standard Orange
l_fo_color	3	VERT (VE)	#92D050 - Standard Orange
l_fo_color	4	JAUNE (J)	#FFFF00 - Standard Orange
l_fo_color	5	VIOLET (V)	#7638A3 - Standard Orange
l_fo_color	6	BLANC (B)	#FFFFFF - Standard Orange
l_fo_color	7	ORANGE (OR)	#FFC000 - Standard Orange
l_fo_color	8	GRIS (GR)	#C1C1C1 - Standard Orange
l_fo_color	9	MARRON (BR)	#993300 - Standard Orange
l_fo_color	10	NOIR (N)	#000000 - Standard Orange
l_fo_color	11	TURQUOISE (TU)	#00B0F0 - Standard Orange
l_fo_color	12	ROSE (RS)	#FF65CC - Standard Orange
l_fo_color	1.1	BLEU (BL)	#0070C0 -  FOTAG IEEE 802.8
l_fo_color	1.2	ORANGE (OR)	#FFC000 -  FOTAG IEEE 802.8
l_fo_color	1.3	VERT (VE)	#92D050 -  FOTAG IEEE 802.8
l_fo_color	1.4	MARRON (BR)	#993300 -  FOTAG IEEE 802.8
l_fo_color	1.5	GRIS (GR)	#C1C1C1 -  FOTAG IEEE 802.8
l_fo_color	1.6	BLANC (B)	#FFFFFF -  FOTAG IEEE 802.8
l_fo_color	1.7	ROUGE (R)	#FF0000 -  FOTAG IEEE 802.8
l_fo_color	1.8	NOIR (N)	#000000 -  FOTAG IEEE 802.8
l_fo_color	1.9	VIOLET (V)	#7638A3 -  FOTAG IEEE 802.8
l_fo_color	1.10	JAUNE (J)	#FFFF00 -  FOTAG IEEE 802.8
l_fo_color	1.11	ROSE (RS)	#FF65CC -  FOTAG IEEE 802.8
l_fo_color	1.12	TURQUOISE (TU)	#00B0F0 -  FOTAG IEEE 802.8
l_fo_type	G651	G651	Norme ITU : Fibre multimode a gradient d indice type 50/125μm
l_fo_type	G652	G652	Norme ITU : Fibre monomode standard SMF pour utilisation a 1300 nm et eventuellement a 1550 nm
l_fo_type	G652A	G652A	Norme ITU : Version de base de la fibre G652, definie a 1310 nm et a 1550 nm
l_fo_type	G652B	G652B	Norme ITU : Version de la fibre G652, definie à 1625nm avec des affaiblissements ameliores a 1310nm et a 1550nm par rapport a la version a, et avec une meilleure PMD.
l_fo_type	G652C	G652C	Norme ITU : Version de la fibre G652, definie a 1383nm (faible pic OH) avec un affaiblissement ameliore a 1550nm par rapport à la version b.
l_fo_type	G652D	G652D	Norme ITU : Version de la fibre G652 la plus performante (meilleures caracteristiques des versions b et c)
l_fo_type	G653	G653	Norme ITU : Fibre monomode a dispersion decalee DSF
l_fo_type	G654	G654	Norme ITU : Fibre monomode a longueur d onde de coupure decalee.
l_fo_type	G655	G655	Norme ITU : Fibre a dispersion decalee non nulle NZ-DSF
l_fo_type	G656	G656	Norme ITU : Fibre monomode a dispersion non nulle pour large bande.
l_fo_type	G657	G657	Norme ITU : Fibre monomode pour reseaux d acces FTTH.
l_fo_type	G657A	G657A	Norme ITU : Fibre G657 compatible avec la fibre optique G652d
l_fo_type	G657A1	G657A1	Norme ITU : Fibre  G657  compatible  a  la  fibre  G652d  et  offrant  une  insensibilite aux courbes de plus de 10mm.
l_fo_type	G657A2	G657A2	Norme ITU : Fibre  G657  compatible  a  la  fibre  G652d  et  offrant  une  insensibilite aux courbes de plus de 7,5mm.
l_fo_type	G657A3	G657A3	Norme ITU : Fibre  G657  compatible  a  la  fibre  G652d  et  offrant  une  insensibilite aux courbes de plus de 5mm.
l_fo_type	G657B	G657B	Norme ITU : Fibre  G657  non  compatible  avec  la  fibre  optique  G652  mais  avec  des  meilleures caracteristiques d insensibilite aux courbes que la version a.
l_fo_type	G657B1	G657B1	Norme ITU : Fibre  G657  non  compatible  avec  la  fibre  optique  G652  et offrant une insensibilite aux courbes de plus de 10mm.
l_fo_type	G657B2	G657B2	Norme ITU : Fibre  G657  non  compatible  avec  la  fibre  optique  G652  et offrant une insensibilite aux courbes de plus de 7,5mm.
l_fo_type	G657B3	G657B3	Norme ITU : Fibre  G657  non  compatible  avec  la  fibre  optique  G652  et offrant une insensibilite aux courbes de plus de 5mm.
l_fo_type	OM1	OM1	Norme ISO/IEC 11801 : Caracteristique d une fibre optique multimode avec une bande passante minimum de 200MHz.km a 850nm. Peut transmettre 100Mbits sur 2km et 1 Gbit sur 275m a 850nm.
l_fo_type	OM2	OM2	Norme ISO/IEC 11801 : Caracteristique d une fibre optique multimode avec une bande passante minimum de 500MHz.km à 850nm. Peut transmettre 100Mbits sur 5km, 1 Gbits sur 550m et 10Gbits sur 82m a 850m.
l_fo_type	OM3	OM3	Norme ISO/IEC 11801 : Caracteristique d une fibre optique multimode avec une bande de passante minimum de 1500MHz.km.. Peut transmettre 10 Gbits sur 330m à 850nm.
l_fo_type	OM4	OM4	Norme ISO/IEC 11801 : Caracteristique d une fibre optique multimode. Peut transmettre 10 Gbits sur 550m a 850nm.
l_fo_type	OS1	OS1	Norme ISO/EN : fibre monomode d attenuation maximum 1.0 dB par km (1310 et 1550nm). Pour des transmissions de 2km maximum.
l_fo_type	OS2	OS2	Norme ISO/EN : fibre monomode d attenuation maximum 0.4 dB par km (1310 et 1550nm). Pour des transmissions superieures a 2km.
l_geoloc_classe	A	CLASSE DE PRECISION A	Décret du 15 février 2012 : un ouvrage ou tronçon d ouvrage est rangé dans la classe A si l incertitude maximale de localisation indiquée par son exploitant est inférieure ou égale à 40 cm et s il est rigide, ou à 50 cm s il est flexible.
l_geoloc_classe	AP	CLASSE DE PRECISION A, EN PLANIMETRIE UNIQUEMENT	Idem classe A, mais uniquement pour les valeurs x et y (hors z)
l_geoloc_classe	B	CLASSE DE PRECISION B	Décret du 15 février 2012 : un ouvrage ou tronçon d ouvrage est rangé dans la classe B si l incertitude maximale de localisation indiquée par son exploitant est supérieure à celle relative à la classe A et inférieure ou égale à 1,5 mètre.
l_geoloc_classe	C	CLASSE DE PRECISION C	Décret du 15 février 2012 : un ouvrage ou tronçon d ouvrage est rangé dans la classe C si l incertitude maximale de localisation indiquée par son exploitant est supérieure à 1,5 mètre, ou si son exploitant n est pas en mesure de fournir la localisation.
l_geoloc_mode	LTRO	LEVE DURANT LA POSE	Objet positionne grace à un leve durant la phase travaux. Dans le cas de tranchee, ce leve a ete realise tranchee ouverte.
l_geoloc_mode	LVIS	LEVE APRES LA POSE	Objet positionne grace a un leve. Dans le cas d une tranchee, uniquement les elements visibles ont ete leves (rustines sur le revetement, chambres encadrantes). Des cotations prises pendant la pose ont permis de completer ce lever.
l_geoloc_mode	DETC	LEVE AVEC DETECTION	Un appareil de detection a ete utilise pour positionner les elements à lever.
l_geoloc_mode	FDPL	COTATION PAR RAPPORT A UN LEVE DE GEOMETRE	Objet implante en reportant des cotations prises par rapport à un fond de plan precedemment leve.
l_geoloc_mode	CBDU	COTATION PAR RAPPORT A UN FOND DE PLAN TIERS TYPE BDU	Objet implante en reportant des cotations prises par rapport au meilleur fond de plan actuellement disponible.
l_geoloc_mode	CADA	POSITIONNEMENT SUR CADASTRE	Objet positionne par rapport aux planches cadastrales.
l_geoloc_mode	ORTO	POSITIONNEMENT SUR ORTHOPHOTOGRAPHIE OU FOND DE PLAN CARTOGRAPHIQUE	Objet positionne par rapport à des orthophotos, ou des fonds cartographiques type RGE, FRANCE RASTER, OSM ou Bing
l_geoloc_mode	INDT	INDETERMINE	
l_immeuble_type	P	PAVILLON	
l_immeuble_type	I	IMMEUBLE	
l_implantation_type	0	AERIEN TELECOM	
l_implantation_type	1	AERIEN ENERGIE	
l_implantation_type	2	FACADE	
l_implantation_type	3	IMMEUBLE	
l_implantation_type	4	PLEINE TERRE	
l_implantation_type	5	CANIVEAU	
l_implantation_type	6	GALERIE	
l_implantation_type	7	CONDUITE	
l_implantation_type	8	EGOUT	
l_implantation_type	9	SPECIFIQUE	
l_infra_nature	ASS	ASSAINISSEMENT	
l_infra_nature	EAU	EAU	
l_infra_nature	ELE	ELECTRICITE	
l_infra_nature	GAZ	GAZ	
l_infra_nature	NC	NON COMMUNIQUE	
l_infra_nature	TEL	TELECOM	
l_infra_nature	HTZ	HERTZIEN	Faisceau hertzien.
l_infra_type_log	CX	COLLECTE TRANSPORT DISTRIBUTION	
l_infra_type_log	CO	COLLECTE	Infrastructures en amont d’un NRO, d un NRA ou d un POP, permettant de faire transiter les flux mutualises des abonnes vers le cœur de reseau de l operateur.
l_infra_type_log	CT	COLLECTE TRANSPORT	
l_infra_type_log	CD	COLLECTE DISTRIBUTION	
l_infra_type_log	TD	TRANSPORT DISTRIBUTION	Mutualisation des fonctions transport et distribution
l_infra_type_log	TR	TRANSPORT	Infrastructure situee entre un noeud de raccordement (NRO, NRA, …) et les sous-repartiteurs (SRO, ...).
l_infra_type_log	DI	DISTRIBUTION	Infrastructure situee entre le sous-repartiteur (SRO, ...) et les points de branchement (PBO, ...).
l_infra_type_log	RA	RACCORDEMENT FINAL	Infrastructure  situee  entre  le  point de branchement (PBO, ...) et la prise terminale (DTIO, ...).
l_infra_type_log	BM	BOUCLE METROPOLITAINE	
l_infra_type_log	LH	LONGUE DISTANCE (LONG HAUL)	
l_infra_type_log	NC	NON COMMUNIQUE	
l_masque_face	A	A	
l_masque_face	B	B	
l_masque_face	C	C	
l_masque_face	D	D	
l_masque_face	E	E	
l_masque_face	F	F	
l_masque_face	G	G	
l_masque_face	H	H	
l_masque_face	I	I	
l_masque_face	J	J	
l_noeud_type	PT	POINT TECHNIQUE	
l_noeud_type	ST	SITE TECHNIQUE	
l_noeud_type	SF	SITE UTILISATEUR FINAL	
l_noeud_type	SE	SITE EMISSION	
